user_id,blanks,coments,language,cloc
jinzhao,5,0,C++,72
flowlight0,2,24,C++,12
Bobik,4,1,Python,61
iwiwi,5,5,C++,68
winger,27,0,java,140
dmute,43,20,C++,215
shangjingbo,5,0,C++,60
agutowski,3,24,C++,3
RiaD,8,5,C++,193
satashun,19,1,C++,136
PavelSavchenkov,10,0,C++,117
AISarkin,5,0,C++,66
gustav,3,22,C++,26
Yarin,9,0,java,49
JAPLJ,10,0,C++,89
Solaris3,12,0,C++,65
zzc0817,11,5,C++,120
ikatanic,2,0,C++,69
kolesov93,17,0,C++,104
Anta0,14,12,C++,228
blmarket,14,0,C++,132
krijgertje,12,0,C++,84
eatmore,13,0,java,70
dancho,12,0,C++,135
ifsmirnov,2,0,C++,105
clrs97,20,30,C++,137
GordeevAlex,2,24,C++,12
whoami,13,0,C++,89
NGG,15,0,Python,45
zerokugi,5,0,C++,29
Endagorion,37,0,C++,71
avolchek,7,0,C++,52
sugim48,7,5,C++,121
zimpha,3,0,C++,50
eduardische,1,10,C++,72
andrewzta,1,0,java,36
Gullesnuffs,10,0,C++,88
glapul,38,6,C++,245
Ahyangyi,2,22,C++,3
tkociumaka,12,57,C++,174
LeBron,9,8,C++,81
a142857a,10,0,C++,58
antonkovsharov,10,0,java,79
Dembel,11,0,C++,89
TKnigge,3,24,C++,3
simonlindholm,33,17,C++,177
omeometo,9,0,C++,76
pashka,2,22,java,3
rowdark,10,0,C++,79
DEGwer,3,12,C++,39
ACube,13,5,C++,103
hellman,18,2,Python,97
watashi,9,0,C++,49
subscriber,33,1,C++,193
bmerry,41,6,C++,324
fhlasek,2,16,C++,78
hansonw,16,0,Python,48
Enchom,8,22,C++,104
ush,6,0,C++,70
XraY,8,5,C++,193
yosupot,21,5,C++,161
aquamongoose,4,2,C++,121
jcvb,2,0,C++,80
IvL,27,0,C++,152
KalininN,19,1,C++,136
Snuke,20,2,C++,131
darnley,7,5,java,121
gfarina,7,1,Python,53
cubelover,14,0,C++,132
peterderivaz,9,0,Python,72
dotory1158,17,5,C++,121
ballonguy,27,0,C++,140
sundar95,3,0,C++,53
Burunduk1,1,0,C++,36
Tyg3R,10,0,C++,117
Zlobober,14,1,C++,64
aid,12,0,C++,135
Erop,2,4,C++,53
retrograd,4,0,C++,29
Ra16bit,3,0,C++,97
SeyedParsa,14,1,C++,107
ImBarD,24,2,C++,124
vepifanov,15,0,C++,146
HellKitsune123,10,0,C++,88
Muali,2,0,C++,69
GGed,14,1,C++,107
azure97,172,7,C++,987
teleport,41,6,C++,324
tomconerly,38,6,java,245
pasin30055,4,0,C++,38
xcwgf666,2,16,C++,78
nwin,13,0,Python,100
iskim,7,4,C++,52
jthread,10,1,C#,40
tczajka,172,7,C++,987
jakubr,12,57,C++,174
kawatea,26,0,C++,146
wata,11,5,java,120
Chendy,8,2,C++,78
ftiasch,17,0,C++,105
koratel,11,0,C++,38
burunduk3,15,0,C++,146
jpsbur,10,8,Python,62
piob,7,0,C++,56
vici,27,0,C++,152
apiad,13,0,C++,97
Lewin,12,0,java,84
meret,4,2,C++,121
ffao,13,0,C++,70
EgorKulikov,13,0,java,97
kostyaby,13,0,C++,89
