user_id,blanks,language,compiler_version,cloc,compiled,comments
lzw75,53,C,-,140,127,22
nitins,2,C++,-,75,127,12
btee,34,C++,-,116,127,9
whsb,4,C++,-,108,127,2
kojingharang,7,C++,-,102,127,14
alabax,13,C++,-,86,127,2
nicka1981,36,C++,-,186,127,40
mirwurscht,16,C++,-,69,127,1
ronalchn,9,C++,-,72,127,27
JustinKang,0.00,12,23,0,Python,3.5,63,0,0,0,0,0,4,0,0,8880,12
MinosPong,0.00,0.12,16,0,C#,-,125,280,0,0,0,0,4,0,2,19096,0.12
JanKuipers,20,C++,-,77,127,1
mm318,0.00,2.81,79,0,Python,2.7,342,0,0,0,0,0,27,8,0,7780,2.77
kcd,12,C++,-,88,127,3
yongheng5871,3,C++,-,94,127,0
knightry,-,-,12,-,java,-,100,-,0,-,-,0,0,-,-,-,-
tanriol,0.00,0.00,8,0,Python,2.7,115,0,2,0,0,2,18,0,0,6152,0.00
pmnox,14,C++,-,124,127,11
TrePe,14,C++,-,203,127,10
dahlukeh,22,C,-,139,127,0
Gassa,20,C++,-,150,127,0
korifey,17,java,-,63,1,3
wadayama,-,-,15,-,java,-,109,-,1,-,-,1,3,-,-,-,-
arganos,21,C++,-,86,127,16
jfguo,25,C++,-,105,127,14
lmy,6,C++,-,58,127,5
rlblaster,9,C++,-,108,127,1
fuqinho,6,C++,-,50,127,0
balee,-,-,16,-,java,-,67,-,0,-,-,0,3,-,-,-,-
CydorniaKnight,58,C++,-,297,127,16
rafaeldaigo,6,C++,-,183,127,7
hooman,13,C++,-,124,127,18
Weeble,0.00,0.72,9,0,C#,-,218,0,0,0,0,0,28,0,0,19480,0.72
curse,-,-,14,-,java,-,175,-,0,-,-,0,0,-,-,-,-
kangbb,25,C++,-,91,127,23
wychen,13,C++,-,111,127,97
Cesar1000,0.00,3.01,54,0,C#,-,554,296,0,0,0,0,19,0,2,24808,3.00
Salls,35,C++,-,191,127,4
kuba97531,0.00,0.00,2,0,C#,-,13,0,1,0,0,1,76,0,0,13112,0.00
oezz,8,C++,-,60,127,0
waik,20,C++,-,169,127,4
imabc,13,C++,-,136,127,0
lonelyboy,16,C++,-,86,127,1
AVictor,10,C++,-,131,127,0
devurandom,13,C++,-,110,127,3
VUAcoder,30,C++,-,153,127,35
royf,0.00,0.01,32,0,Python,3.5,271,0,2,0,0,2,3,0,0,7240,0.00
Berry,66,C,-,291,127,32
Marte,0.00,0.03,6,0,Python,2.7,63,0,0,0,0,0,1,0,0,8452,0.03
