user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
akinori,0.00,0.00,28,0,C#,-,135,0,2,0,0,2,5,0,0,12116,0.00
lzw75,53,C,-,140,127,22
sixshine,11,C++,-,434,127,13
Caoqinxiang,20,C++,-,148,127,5
dunkmaster,-,-,0,-,java,-,1,-,0,-,-,0,0,-,-,-,-
kurnevsky,8,C++,-,145,127,0
HenrikRueping,2,java,-,48,0,28
Wynd07,-,-,1,-,java,-,46,-,0,-,-,0,1,-,-,-,-
Stun,34,C++,-,178,127,18
winger,-,-,18,-,java,-,147,-,0,-,-,0,1,-,-,-,-
hychen,10,C,-,112,127,0
Boltmeyer,0.00,12,36,0,C#,-,298,0,0,0,0,0,36,0,0,31404,12
goryinyich,21,C++,-,160,127,0
qnighy,4,C++,-,126,127,2
ChrisDz,-,-,33,-,java,-,164,-,1,-,-,1,7,-,-,-,-
yimamura,6,C++,-,144,127,0
Tojot,0.00,6.36,19,0,Python,3.5,143,0,0,0,0,0,1,0,0,8920,6.35
updog,28,C++,-,141,127,6
sigmar,14,C++,-,186,127,4
alberist2,10,C++,-,167,127,7
Redbug,-,-,72,-,java,-,349,-,124,-,-,124,4,-,-,-,-
SumuduF,25,C++,-,101,127,0
Harrywy,-,-,12,-,java,-,125,-,1,-,-,1,0,-,-,-,-
strapahuulius,0,C++,-,120,127,0
felixh,29,C++,-,227,127,23
nexen,27,C++,-,250,127,13
emppu,16,C++,-,143,127,4
igerasim,6,C++,-,88,127,0
elizarov,-,-,26,-,java,-,287,-,1,-,-,1,15,-,-,-,-
Grzesiu,11,C++,-,89,127,6
HuZhongXian,19,C++,-,192,127,9
qbeuek,0.00,0.00,14,0,C#,-,208,0,2,0,0,2,1,0,0,12100,0.00
tanriol,0.00,0.00,10,0,Python,2.7,125,0,2,0,0,2,18,0,0,6108,0.00
Chewbacca,48,C++,-,316,127,3
TrePe,14,C++,-,203,127,10
chys,40,C++,-,243,127,7
Gassa,20,C++,-,150,127,0
adamantoise,46,C++,-,303,127,1
dzhioev,25,C++,-,296,127,0
tmt514,6,C++,-,74,127,6
178855371157,35,C++,-,187,127,2
eatmore,-,-,13,-,java,-,156,-,0,-,-,0,15,-,-,-,-
Hooyoung,0.00,0.00,3,0,Python,3.5,11,0,2,0,0,2,0,0,0,7240,0.00
GeKa,22,C++,-,145,127,0
fuseidenamida,12,C++,-,155,127,0
mhw,38,C,-,207,127,34
Soultaker,28,C++,-,238,127,11
kenimo,0.00,9.97,4,0,Python,2.7,97,0,0,0,0,0,15,0,0,8652,9.97
Milanin,0,C++,-,143,127,0
Butterfly0923,16,C++,-,117,127,0
jellies,12,C++,-,173,127,1
TripleM,5,C++,-,149,127,39
SnapDragon,3,C++,-,72,127,7
nshepperd,0.00,0.00,30,0,Python,2.7,162,0,2,0,0,2,52,0,0,6152,0.00
bg95,2,C++,-,236,127,10
kmod,-,-,26,-,Python,2.7,113,-,124,-,-,124,17,-,-,-,-
Weeble,0.00,0.62,11,0,C#,-,218,0,0,0,0,0,24,0,0,19708,0.62
Smithers,13,C++,-,165,127,0
gepa,0.01,7.01,13,0,Python,2.7,111,0,0,0,0,0,0,0,0,35260,6.99
Scooooooorpio,29,C++,-,298,127,9
Cesar1000,0.01,5.83,54,0,C#,-,554,0,0,0,0,0,19,0,0,25560,5.81
srkib0y,39,C++,-,359,127,4
jonathanasdf,6,C++,-,152,127,5
Salls,35,C++,-,191,127,4
LanceHalberd,-,-,8,-,java,-,142,-,1,-,-,1,4,-,-,-,-
aussie,0.00,0.66,29,0,C#,-,215,0,0,0,0,0,5,0,0,27748,0.65
FFFFF,4,java,-,166,1,0
seemmeriast,15,C++,-,114,127,20
waik,20,C++,-,169,127,4
hjwdzh,13,C++,-,157,127,0
eduardische,9,C++,-,224,127,14
JohnSmith,35,C++,-,283,127,13
kuba97531,0.00,0.00,2,0,C#,-,13,0,1,0,0,1,76,0,0,13084,0.00
ASotelo,-,-,2,-,java,-,263,-,1,-,-,1,6,-,-,-,-
devurandom,13,C++,-,110,127,3
royf,0.00,0.01,32,0,Python,3.5,271,0,2,0,0,2,3,0,0,7176,0.00
Berry,66,C,-,291,127,32
netkuba,20,C++,-,181,127,6
BasicSkills,-,-,22,-,java,-,160,-,0,-,-,0,0,-,-,-,-
Borisp,8,C++,-,189,127,1
stgatilov,19,C++,-,117,127,1
lxx,17,C++,-,123,127,3
TheoristOfLightAndDark,0.00,0.00,9,0,Python,2.7,73,0,2,0,0,2,1,0,0,6132,0.00
kappahouse,10,C++,-,141,127,1
42Life,0.00,0.00,52,0,C#,-,194,0,2,0,0,2,48,0,0,12148,0.00
ecv,11,C++,-,146,127,3
srh,87,C++,-,328,127,36
Squarefk,9,C++,-,113,127,0
terrakot,0.00,0.00,58,0,C#,-,306,0,2,0,0,2,5,0,0,12104,0.00
omeometo,5,C++,-,71,127,6
Boncida,0.00,0.01,16,0,Python,3.5,185,0,2,0,0,2,12,0,0,7240,0.00
Sergo,45,C++,-,335,127,28
DjinnKahn,25,C++,-,143,127,19
Pompon,12,C++,-,80,127,5
dwenzel,-,-,13,-,Python,2.7,200,-,124,-,-,124,7,-,-,-,-
piyawatl,0.00,0.00,2,0,C#,-,46,0,2,0,0,2,18,0,0,12100,0.00
CANDEO,0.00,0.00,12,0,Python,2.7,141,0,0,0,0,0,1,0,0,6708,0.00
khelman,-,-,48,-,java,-,184,-,1,-,-,1,26,-,-,-,-
alva0930,-,-,33,-,java,-,416,-,0,-,-,0,0,-,-,-,-
stopit99,0.00,0.01,57,0,C#,-,199,0,2,0,0,2,25,0,0,12088,0.00
ACube,32,C++,-,161,127,10
almaz,36,C++,-,314,127,6
kelvinlau,31,C++,-,257,127,11
lwz,0,C++,-,90,127,2
IElenik,30,C++,-,154,127,5
ChrisJ,-,-,39,-,java,-,147,-,1,-,-,1,2,-,-,-,-
bmerry,18,C++,-,184,127,0
burunduk3,4,C++,-,89,127,30
typr,-,-,21,-,java,-,209,-,1,-,-,1,24,-,-,-,-
Tilps,-,-,20,-,C#,System.Numerics,322,-,-1,-,-,-1,13,-,-,-,-
ush,21,C++,-,146,127,19
Phil217,-,-,26,-,java,-,357,-,1,-,-,1,26,-,-,-,-
Carbon,-,-,4,-,Python,2.7,101,-,1,-,-,1,2,-,-,-,-
a2stnk,-,-,18,-,java,-,139,-,0,-,-,0,7,-,-,-,-
HellFalcon,-,-,17,-,java,-,163,-,1,-,-,1,15,-,-,-,-
mjmjmtl,24,C++,-,201,127,8
ineaugh,51,C++,-,296,127,0
gawry,1,C++,-,100,127,1
CaptainAhmadi,32,C++,-,168,127,7
cardboardbox,-,-,12,-,java,-,236,-,0,-,-,0,8,-,-,-,-
NumberCruncher,0.00,0.00,37,0,C#,System.Numerics,173,0,2,0,0,2,21,0,0,12096,0.00
donogo,71,C++,-,294,127,6
zithral,0.00,9.88,14,0,Python,2.7,87,0,0,0,0,0,9,0,0,6760,9.88
alexliver,4,java,-,31,0,39
kcm1700,22,C++,-,157,127,0
ymgve,-,-,53,-,java,-,330,-,0,-,-,0,5,-,-,-,-
eldering,25,C++,-,145,127,4
CydorniaKnight,58,C++,-,297,127,16
levlam,34,C++,-,174,127,4
wabe,15,C++,-,155,127,0
koda,7,C++,-,182,127,7
Martial,10,C++,-,154,127,1
rydotyosh,52,C++,-,294,127,5
daggerbox,11,java,-,164,1,13
sessoh,-,-,21,-,java,-,166,-,1,-,-,1,10,-,-,-,-
MAME,39,C++,-,291,127,80
caf,46,C,-,179,127,16
t93,8,java,-,62,1,0
mystic,-,-,22,-,java,-,119,-,1,-,-,1,7,-,-,-,-
Vasyl,27,C++,-,153,127,1
AS1,3,C++,-,64,127,1
pianojuggler4,-,-,7,-,java,-,79,-,0,-,-,0,0,-,-,-,-
Nicolas16,30,C,-,269,127,25
tribody,2,C++,-,50,127,7
Ahbong,6,C++,-,129,127,7
refacto,76,C++,-,263,127,2
dspyz,3,java,-,0,0,46
htamas,2,C,-,105,127,9
LinShu,13,C++,-,139,127,7
jilljenn,10,C++,-,142,127,21
bengedy,28,C++,-,151,127,1
eddyferreira,7,C++,-,166,127,1
plamenko,28,C++,-,149,127,0
krijgertje,10,C++,-,80,127,6
rafaeldaigo,6,C++,-,183,127,7
Maf,11,C++,-,50,127,16
Jeru,10,C++,-,168,127,8
shadeel,17,C++,-,109,2,6
Komaki,4,C++,-,112,127,0
g201513,23,C++,-,103,127,2
ljh38,18,C++,-,145,127,29
fortable,-,-,10,-,Python,2.7,61,-,124,-,-,124,22,-,-,-,-
bcurcio,21,C++,-,80,127,1
soimort,76,C++,-,531,127,8
arping,31,C++,-,128,127,80
W4yneb0t,4,C++,-,156,127,10
falcon112358,0.00,0.00,19,0,Python,2.7,145,0,2,0,0,2,11,0,0,6156,0.00
kik,12,C++,-,127,127,4
Eley8eroskopeyths,18,C++,-,290,127,8
Ironguilou,32,C++,-,181,127,6
sisu,9,C++,-,103,127,12
PaddyWanBE,17,C++,-,239,127,9
DaniTunes,0.00,29,11,0,Python,2.7,101,0,0,0,0,0,26,0,0,7260,29
iwiskimo,23,C++,-,138,127,0
HelloWorlder,0.00,0.00,32,0,Python,2.7,244,0,0,0,0,0,8,0,0,6880,0.00
Arcturus,18,C++,-,158,127,18
rompel,63,C,-,494,127,6
pmnox,14,C++,-,124,127,11
Wataru,63,C++,-,242,127,8
caethan,0.00,0.01,42,0,Python,3.5,172,0,2,0,0,2,43,0,0,7232,0.00
Alexander86,11,C++,-,179,127,10
azhai,23,C++,-,88,127,3
tikitikirevenge,9,C++,-,103,127,11
MiminoCoder,14,C++,-,155,127,8
thimk,-,-,25,-,java,-,113,-,0,-,-,0,3,-,-,-,-
pivizz,14,C++,-,281,127,8
kmjp,51,C++,-,237,127,22
