user_id,penalty,points
Mitsaras,6322,21
tilarids,5123,6
Chitly,4757,21
whitedogQQ,7097,16
alarobric,6965,21
Soarwind,9659,27
tolui,7867,21
candybonn,6387,21
FrederikVds,6707,27
Ixanezis,8838,100
btee,10249,21
Dumle,5802,21
polmauri,8066,63
Mohammad.JRS,4443,27
kojingharang,3298,27
coderbd,4972,16
luvlubb,6864,63
gmcabrita,5033,6
adrien.couque,5630,27
dalex,6359,63
hechim,7075,16
andrewstewart25,1898,6
mirzman,4900,10
dmarius1,4411,27
leira,6539,21
sheldor,8837,27
Labutin,8181,10
AhmedSalem,8901,27
Stevens1992,5831,16
ckebabo,4304,10
Mikekin,6538,27
romanandreev,2707,63
Tomi,5325,63
Tomo,6702,63
Gassa,7965,100
Swrrt,4826,63
up2self,5952,10
SergiuHlihor,7415,36
cmd,6274,63
Vik23,8825,10
abhra,6703,21
5l2,2262,6
programcaicai,3895,27
limpbizkit,6859,10
hujiafeng,8768,27
Sosi,3366,21
methane,6116,57
Mozg,9712,10
fuqinho,7996,63
lookingfor,8934,39
elguog,7920,63
IvayloS,4049,63
WJMZBMR,3752,63
qu1ck,3922,27
aoki1980taichi,6769,21
mishok13,4338,43
sweetie,3506,6
adamsunday,7945,10
abhi86,2804,6
evandijk70,8830,16
neizod,7371,21
lomegor,7817,21
sashka,4757,27
duviteck,5360,21
Johannesk,5555,10
Carber,4009,63
tolk,8741,63
steiner,8889,64
yanhan,3960,21
WXYZ,6274,63
Bring.it.on,8876,10
Salls,5085,21
madvin,4538,10
marine.kamlesh,4498,6
alexamici,8953,64
Tariqul,3408,6
carebear,1480,43
gigikent,4106,21
Blakman,7851,27
WindTalker,5916,27
rizwanhudda,10373,27
Fedyarer,3464,21
iloahz,2196,21
ThraxX,3045,27
raviagarwal,9544,16
jamu,8277,63
countthree,2956,10
kokalishte,5386,21
Drica,5456,27
Queen,9111,21
fruwajacybyk,8254,64
permin,4023,27
sysuweichen,9017,21
light0,3071,21
hansg,5303,21
Xixixixixixixixixixixixixihaha,4923,10
SuFizz,7389,10
matthew.t.wilson,6875,16
Nooodles,9127,63
ty70,4173,6
yuhang,7429,21
minnow,4112,10
a1ex,1684,6
Stratocoder,6055,27
tokubo,7075,21
Epiq,4649,10
CalgaryCorpus,4347,6
watcharin,5816,64
bashrc,5662,6
chakradarraju,3036,27
W.Junqiao,4749,63
souptikpro,5937,10
sujogya,7181,27
lwz,5028,21
DarLam,6063,27
SmirnovBoris1,8735,27
fateiswar,6703,63
lfdorelli,9535,16
lwq,9285,27
makhan,7083,63
kk420,9666,63
kenichi.t,9059,27
EdwardSoo,8070,10
saras,10125,21
daisyblu82,6056,10
TheKro,5545,27
Zunekid,9984,16
hustsxh,5583,27
daimatz,4503,16
pokpok,8640,18
mircea.cimpoi,3394,21
stevedonnelly,8323,16
glass,3235,43
bbaris,6812,36
aweek,6003,10
shubhanshu,4915,21
LittleBear,5804,27
pbpatre,8387,10
aadi12,5133,10
chirag.agrawal19,6463,21
amucoder,7290,16
chousan,6133,63
dusanr,6905,27
MZetko,4205,6
gangsterveggies,8140,27
1nadequacy,9991,63
Scaramouche,4301,10
shirakia,2470,6
Verawy,5437,27
chanjoo,7766,10
torquestomp,4093,21
Dagon,6891,63
ZeForce,6119,21
Hirakendu,6345,10
Quilan,9398,52
kavinyao,6299,27
MarsChenly,9007,27
tigre,5053,10
shadeel,4939,16
FireJade,7793,27
Pekaz,7190,16
bengedy,5401,63
plamenko,8558,63
CodeViking,2546,6
PhilNowell,6370,21
OtonoKakuei,5510,21
mih15c,7042,27
Atol,6920,100
Ziki,8958,45
xiaodao,2971,27
attmen,8004,10
wojteks,2772,64
nunocordeiro,8217,36
matias,5667,63
goober,10218,27
NFXZ,6581,27
dinosaurs,6593,63
Coconut.Big,7283,10
GaoYusong,8555,63
Hawkwing,8985,10
LiuKe,6115,27
AdrianRoos,5591,27
vvnesaa,8362,16
iwiskimo,5258,63
pallavtinna,5454,10
IcePupil,8981,64
tanriol,8028,57
vance,9292,63
netsuso,9212,16
saulhidalgo31,2493,6
Cam,5399,6
Acev,7713,45
Vladster,7292,27
lzqxh,5804,63
twanvl,8833,100
tirikantam,3413,6
rst76,3168,21
Slimper,9436,63
Zapata,7660,36
havacci,3283,6
afix,5255,6
ctynan,2486,27
stebaev,5371,27
VittorioIt,4005,21
LawrenceLeung,9280,63
alexeykuzmin0,6167,16
Leonid,9304,63
puddleglum42,8957,64
beanSweeny,3678,10
alzubialaa,4100,6
SharpC,8039,63
FatSheep,7749,63
arkcoder,6697,21
papamitra,8713,53
blasterz,8397,43
SumuduF,6398,63
fci.beta,1440,6
LiangLee,4449,16
OlliH,5240,21
Yarin,8023,100
qbeuek,7454,27
QuentinB,10877,21
MaximKulikov,8605,45
eduard.piliposyan,6372,27
Aries512,9528,27
springegg,7850,63
rrg3,5574,43
CHZ,2868,10
Jami,4408,16
amrSamir,7319,52
InfoRival,5689,63
omegaga,7818,16
Mingwei,5019,64
leo.inacio,4496,27
pavelz,5880,27
Rafty,10079,53
billynyh,5924,27
donvel,7161,63
phire,7786,63
varlevani,2499,27
roast,7834,21
hector.zhao,5715,27
Khaled.Helmy,9311,27
trauzti,8956,43
murakumo,9361,21
Cifko,8176,52
JB602223,9690,27
ryglis,9356,10
slex,8994,45
dnguyen,7887,21
geeky.elk,9115,63
DylanM,8169,27
VladDracula,8079,63
jacobjose,3760,21
atulbansal,5522,16
roooit,2436,10
Vichare,1984,21
abc123s,6883,21
lost.lamb,5773,27
htdong,7343,27
open,5544,63
Huayang,3140,21
Fingon,3524,27
coderTony,6562,27
IvanRomanov,6117,45
vads,5413,6
smn,8088,63
Fettn,4538,21
celestialfire,8977,21
gos,6237,10
JaanusKp,5030,21
MiminoCoder,3226,63
ragib06,6197,21
boy99,7574,16
AKarpinsky,8294,10
Ahyangyi,4478,63
stgatilov,8838,100
Dembel,3714,63
bletchley,5506,21
Greatlemer,3521,21
gregmhogan,4173,27
carlos1337,5576,6
omalonsom,8518,16
dgjv1,8109,21
Kiroxas,3969,10
lilica,7304,16
Dener,5182,63
Troublemaker,7469,27
raincole,9083,63
olage,3261,10
sillyboy,8311,63
jainkkapil,3271,10
zarandr,7997,16
Stray.Bird,8969,27
jfguo,6237,16
Metallic,8868,16
Nodar,3580,27
RonnyKaluge,8636,45
yaeda,1670,21
Budianto,4775,21
Etienne,2302,21
aekt,4919,6
Prakhar1010,4274,10
CNRICville,7974,64
.Invader,4345,63
imgpsingh,1806,6
treert,6838,27
Scorpy,3635,27
Pavol,6048,21
aquamongoose,5551,27
yey177,7176,52
kucingimbalance,6160,16
listen,7884,27
huihui,4612,10
yuraway,7123,27
bcloud7,6922,27
collapse,3224,6
knightL,7973,45
HeavenAgain,8775,21
fuqunaga,8064,21
Joost,10091,10
zlfengyi1,7545,63
macmak,6047,21
ebyrob,7827,21
AlexanderL,5088,27
have,6696,10
Manal.Sadek,8561,27
BombayDuck,6057,10
Juniocarl,6355,27
JaumePT,7712,27
Khuc.Anh.Tuan,8248,63
SickMath,9696,27
rabbit125,6658,16
AndriyM,9178,16
Offe,4262,6
MrMWelter,4561,6
zero0,6352,21
kilotaras,3824,27
KeShiHao,9463,10
AlexanderS,8468,57
Eledven,4709,63
olpetOdessaONU,2158,27
andreyv,2794,27
dmitri.gb,9348,27
cyril.zhang,6628,63
Krevan,7384,21
coldsheep,5628,6
caroline.clover,5416,10
stqn,7353,27
BlueGene,4766,27
vinayse,6851,16
tcamolesi,5529,21
lotrf3,7469,43
japdlsd,7725,52
sashenka,4004,21
CrBoy,9344,27
dotcink,5509,21
kimbs,3247,21
WellyDP,9047,16
sbasrik,7167,27
Renaudb,5824,27
d.bud,5780,27
ptncks0121,4561,6
Lxy,8999,21
nwin,8207,63
fuwenjie,6179,63
henviso,6245,10
Revenant,2635,6
ChrisLin,4197,21
ChevalierMalFet,3199,21
Liming,6911,21
WesP,8103,53
2332933,5421,16
Wer3w01f,4469,36
hrushikesh.tilak,6513,27
R.Silva,8593,45
MooseBoys,9299,21
rumble,5949,10
marim,7997,42
v.haralampiev,7206,63
Hackson,8472,63
ShadowSweet,8306,21
manishmap2,6424,16
realshabih,9150,10
Csillag,6752,21
julian.camargo,3730,6
smallliao,9239,10
atetubou,7769,63
Alexander86,5669,63
tsotnet,8286,63
MatteoJug,2842,6
WenX,4150,27
