user_id,blanks,language,comments,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
ACube,26,C++,8,152,,,,,,,,,,,,,,,,
ASotelo,2,java,6,113,0,0.14,0.00,-,0,0,0,0,1,64,0,4351,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21540,0.04
AbsentMoniker,7,Python,5,154,,,,,,,,,,,,,,,,
Alexander86,9,C++,20,157,,,,,,,,,,,,,,,,
AlvinChow,24,C#,9,170,,,,,,,,,,,,,,,,
AngryBacon,18,C++,2,135,,,,,,,,,,,,,,,,
BNieuwenhuizen,5,C++,13,146,,,,,,,,,,,,,,,,
Balajiganapathi,30,C++,22,187,,,,,,,,,,,,,,,,
Bigmac,2,C++,21,237,,,,,,,,,,,,,,,,
Binnie,10,Python,16,60,,,,,,,,,,,,,,,,
CatalinT,43,C++,19,136,,,,,,,,,,,,,,,,
Charlene,27,C++,7,88,,,,,,,,,,,,,,,,
Dmytro,2,java,61,11,-,-,-,-,-,0,-,-,-1,-,-,938,-,,-,-
Dragoon,58,C++,4,230,,,,,,,,,,,,,,,,
Edvard,49,C++,0,179,,,,,,,,,,,,,,,,
Efyx,20,java,4,119,0,0.10,0.00,-,0,0,0,0,1,64,0,2623,-, at java.lang.ClassLoader.defineClass1(Native Method)  at java.lang.ClassLoader.defineClass(ClassLoader.java:803)  at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:142)  at java.net.URLClassLoader.defineClass(URLClassLoader.java:442)  at java.net.URLClassLoader.access$100(URLClassLoader.java:64)  at java.net.URLClassLoader$1.run(URLClassLoader.java:354)  at java.net.URLClassLoader$1.run(URLClassLoader.java:348)  at java.security.AccessController.doPrivileged(Native Method)  at java.net.URLClassLoader.findClass(URLClassLoader.java:347)  at java.lang.ClassLoader.loadClass(ClassLoader.java:425)  at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:308)  at java.lang.ClassLoader.loadClass(ClassLoader.java:358)  at sun.launcher.LauncherHelper.checkAndLoadMain(LauncherHelper.java:482) Command exited with non-zero status 1,21436,0.04
Eryx,36,C++,15,159,,,,,,,,,,,,,,,,
Fcdkbear,5,C++,1,185,,,,,,,,,,,,,,,,
Fdg,10,C++,1,140,,,,,,,,,,,,,,,,
GGed,6,C++,0,110,,,,,,,,,,,,,,,,
