user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
10561066,0,0.06,0.00,10,C, lm ,72,0,0,0,0,0,5,0,0,8480,-,-,2272,0.03
213r,0,1.26,0.00,7,Python,2.7,28,8,0,0,0,0,0,0,0,1440,-,-,38952,1.24
37ae912,0,0.05,0.00,23,C++,-,56,24,0,0,0,0,2,0,0,10088,-,-,3576,0.05
74th,0,1.58,0.02,40,Python,2.7,50,8,0,0,0,0,8,0,0,1814,-,-,39092,1.56
9mat,0,0.15,0.00,20,C++,-,63,56,0,0,0,0,0,0,0,26016,-,-,4272,0.14
ACing,-,-,-,79,C++,-,60,-,0,-,-,-1,4,-,-,9440,-,-,-,-
ADJA,0,0.00,0.00,87,C++,-,62,64,0,0,0,0,0,0,1,32376,-,-,2616,0.00
AIgen,0,0.18,0.00,67,C++,-,46,24,0,0,0,0,3,0,0,10808,-,-,12080,0.18
AK93,-,-,-,56,C++,-,48,-,0,-,-,-1,0,-,-,23016,-,-,-,-
AKim,-,-,-,47,C++,-,44,-,0,-,-,-1,0,-,-,9792,-,-,-,-
AMM,0,3.57,0.04,3,Python,2.7,36,8,0,0,0,0,0,8,0,1288,-,-,84668,3.52
AS1,0,0.16,0.00,9,C++,-,75,40,0,0,0,0,2,0,0,18096,-,-,8496,0.15
AYoungProgrammer,-,-,-,53,C++,-,30,-,0,-,-,-1,9,-,-,11360,-,-,-,-
Abacist,-,-,-,66,C++,-,52,-,0,-,-,-1,0,-,-,9552,-,-,-,-
AbsentMoniker,0,0.01,0.00,5,Python,2.7,45,8,0,0,0,1,1,0,0,1618,-,Unknown,6404,0.00
Acev,0,0.00,0.00,67,C++,-,50,24,0,0,0,0,1,0,0,11000,-,-,2372,0.00
AdGold,-,-,-,4,C++,-,54,-,0,-,-,-1,2,-,-,27192,-,-,-,-
Adac,0,0.94,0.01,37,Python,2.7,106,8,0,0,0,0,4,8,0,4106,-,-,51144,0.92
AekdyCoin,-,-,-,32,C++,-,33,-,0,-,-,-1,0,-,-,7824,-,-,-,-
Aerodonkey,0,0.12,0.01,12,C++,-,97,40,0,0,0,0,2,0,0,19952,-,-,13296,0.10
AhmedSalem,-,-,-,76,C++,-,53,-,0,-,-,-1,5,-,-,10224,-,-,-,-
Akerfeldt,-,-,-,17,C,-,76,-,1,-,-,-1,0,-,-,-,-,-,-,-
AlbertoLCS,-,-,-,76,C++,-,68,-,0,-,-,-1,0,-,-,13360,-,-,-,-
Aleksander,-,-,-,110,C++,-,69,-,0,-,-,-1,2,-,-,10008,-,-,-,-
AlexBovk,-,-,-,57,C++,-,40,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
AlexTolstov,0,0.30,0.02,17,Java,-,78,0,0,0,0,0,0,72,0,2651,-,-,59504,0.28
AlexanderBolshakov,0,0.32,0.03,17,Java,-,101,0,0,0,0,0,0,80,0,2652,-,-,87296,0.28
Aliaksei,0,0.00,0.00,93,C++,-,74,40,0,0,0,0,2,8,0,18416,-,-,2588,0.00
AliakseiCharnevich,-,-,-,70,C++,-,69,-,0,-,-,-1,0,-,-,12008,-,-,-,-
Alias,0,0.00,0.00,133,C++,-,112,72,0,0,0,0,0,0,1,35856,-,-,2580,0.00
AlirezaN,-,-,-,53,C++,-,44,-,0,-,-,-1,1,-,-,11720,-,-,-,-
Alligator,0,0.01,0.00,37,C#,-,158,0,0,0,0,1,6,0,0,5632,-,: System.IndexOutOfRangeException,9896,0.01
Alon,0,0.53,0.00,3,Python,2.7,23,0,0,0,0,0,1,0,0,1088,-,-,8236,0.53
AmanJain,-,-,-,115,C++,-,95,-,0,-,-,-15,4,-,-,18568,-,Timeout,-,-
AmanS,-,-,-,33,C++,-,34,-,0,-,-,-1,0,-,-,23168,-,-,-,-
AmazingCaddy,-,-,-,72,C++,-,48,-,0,-,-,-1,20,-,-,10184,-,-,-,-
AmbBAI,-,-,-,69,C++,-,53,-,0,-,-,-1,0,-,-,9560,-,-,-,-
Ambling,-,-,-,86,C++,-,60,-,0,-,-,-1,2,-,-,39272,-,-,-,-
Anarivu,0,0.00,0.00,98,C++,-,66,48,0,0,0,0,1,0,0,23856,-,-,2216,0.00
Andfive,-,-,-,75,C++,-,61,-,0,-,-,-1,0,-,-,22728,-,-,-,-
AndreySiunov,0,1.06,0.03,102,C++,-,82,24,0,0,0,0,1,206936,0,12208,-,-,2556,1.02
AndyBloch,-,-,-,13,C++,-,78,-,0,-,-,-1,8,-,-,12864,-,-,-,-
AndyPanda,-,-,-,39,C++,-,35,-,0,-,-,-1,0,-,-,11520,-,-,-,-
ArchVince,0,0.02,0.00,10,C#,System.Numerics,56,0,0,0,0,1,0,0,0,4096,-,: System.IndexOutOfRangeException,9944,0.01
Arios,0,0.00,0.00,66,C++,-,52,24,0,0,0,0,0,0,0,9688,-,-,2236,0.00
Armavica,0,0.62,0.01,4,Python,2.7,21,8,0,0,0,0,1,0,0,894,-,-,8260,0.60
ArthurExcb,-,-,-,64,C++,-,58,-,0,-,-,-1,2,-,-,9872,-,-,-,-
Arti1990,0,0.03,0.00,101,C++,-,67,24,0,0,0,0,2,0,0,10152,-,-,3500,0.02
Artifere,-,-,-,19,C++,-,59,-,0,-,-,-1,8,-,-,31080,-,-,-,-
Augustyn,0,0.33,0.03,8,Java,-,38,0,0,0,0,0,5,72,0,1630,-,-,102896,0.30
AvinFernando,-,-,-,29,C#,-,176,-,-1,-,-,-1,4,-,-,-,Unknown,-,-,-
BHAVANI,-,-,-,4,C++,-,84,-,0,-,-,-1,2,-,-,26416,-,-,-,-
Baekjoon,-,-,-,1,C++,-,44,-,0,-,-,-1,0,-,-,9480,-,-,-,-
Baker,0,0.00,0.00,172,C++,-,108,40,0,0,0,0,14,8,0,16992,-,-,2692,0.00
BananaTree,0,4.71,3.49,72,C++,-,65,48,0,0,0,0,1,137352,0,23224,-,-,2496,1.21
Basha133,-,-,-,126,C++,-,78,-,0,-,-,-1,26,-,-,20664,-,-,-,-
Baster,0,0.14,0.00,92,C++,-,73,24,0,0,0,0,0,0,0,10512,-,-,4524,0.14
Batbaatar,0,0.91,0.02,6,Python,2.7,26,8,0,0,0,0,1,0,0,1393,-,-,77724,0.86
Belag,0,0.32,0.01,8,Java,-,44,0,0,0,0,0,0,80,0,1656,-,-,95696,0.30
BennyCarina,0,0.00,0.00,57,C++,-,45,24,0,0,0,0,1,0,0,10696,-,-,2580,0.00
Beriand,0,0.70,0.00,68,C++,-,40,24,0,0,0,0,0,0,0,10072,-,-,7252,0.70
BertLeung,0,0.09,0.00,5,C++,-,38,24,0,0,0,0,0,0,0,9464,-,-,8212,0.08
Bew,-,-,-,113,C++,-,105,-,0,-,-,-1,2,-,-,10656,-,-,-,-
Bidhan,-,-,-,68,C++,-,98,-,0,-,-,-1,6,-,-,10800,-,-,-,-
Binnie,0,1.01,0.02,3,Python,2.7,33,0,0,0,0,0,0,0,0,1279,-,-,70660,0.98
Bipo,-,-,-,9,C++,-,36,-,0,-,-,-1,2,-,-,10848,-,-,-,-
BlackHole,0,0.04,0.02,9,Java,-,65,0,0,0,0,1,0,72,0,1788,-,java.io.FileNotFoundException:,23620,0.02
Blackwood,0,0.35,0.03,8,Java,-,89,0,0,0,0,0,2,80,0,2723,-,-,95428,0.33
Blakman,-,-,-,7,C#,-,81,-,1,-,-,-1,0,-,-,-,: Program `ProblemBase.exe' does not contain a static `Main' method suitable for,-,-,-
Boxer,-,-,-,104,C++,-,88,-,0,-,-,-1,0,-,-,27888,-,-,-,-
BrightDays,-,-,-,73,C++,-,57,-,0,-,-,-1,0,-,-,12000,-,-,-,-
BryceSandlund,-,-,-,6,C++,-,46,-,0,-,-,-1,8,-,-,11184,-,-,-,-
BuaaBella,-,-,-,34,C++,-,33,-,0,-,-,-1,1,-,-,9872,-,-,-,-
CHZ,-,-,-,3,C++,-,45,-,0,-,-,-1,27,-,-,9728,-,-,-,-
Cakra,0,0.12,0.00,160,C++,-,101,32,0,0,0,0,5,0,0,15800,-,-,7480,0.12
CarpathianCoder,0,0.00,0.00,14,C++,-,64,0,0,0,0,1,0,0,0,9608,-,Unknown,1988,0.00
CatK,0,0.42,0.00,72,C++,-,65,48,0,0,0,0,1,0,0,23080,-,-,2572,0.42
CeShine,0,0.49,0.00,6,Python,2.7,28,8,0,0,0,0,2,0,0,1206,-,-,39916,0.46
ChRapO,0,2.54,0.01,6,Python,2.7,22,8,0,0,0,0,0,0,0,881,-,-,70900,2.53
ChaouS,0,0.00,0.00,19,C++,-,100,88,0,0,0,0,3,0,1,42704,-,-,2556,0.00
Charlene,0,0.00,0.00,19,C++,-,85,0,1,0,0,127,3,0,0,-,Unknown error,Command not found,1424,0.00
Cherip,-,-,-,106,C++,-,76,-,0,-,-,-1,8,-,-,9688,-,-,-,-
Chotiwat,0,0.12,0.01,6,C,-,32,0,0,0,0,0,0,0,0,7352,-,-,6248,0.05
ChrisJ,0,1.07,0.01,7,Python,2.7,24,8,0,0,0,0,3,0,0,783,-,-,39716,1.05
ChunLaw,0,0.05,0.00,38,C++,-,29,24,0,0,0,0,1,0,0,9440,-,-,7304,0.05
Cinkz,0,0.04,0.00,12,Java,-,73,0,0,0,0,1,0,72,0,2412,-,java.lang.ArrayIndexOutOfBoundsException:,23784,0.03
Cintia,-,-,-,103,C++,-,78,-,1,-,-,-1,1,-,-,-,No such file or directory,-,-,-
