user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
asdacap,0.00,0.00,0.00,15,0,-,C++,44,0,0,0,0,0,16,0,0,28736,2704,0.00
Burney,0.00,0.00,0.00,0,0,-,C++,23,0,0,0,0,0,0,0,0,8968,2060,0.00
7HM,0.01,0.08,0.01,11,0,-,java,28,0,0,0,0,0,5,72,0,-,29884,0.07
doublehh,0.00,0.00,0.00,3,0,-,C++,35,0,0,0,0,0,9,0,0,27968,2712,0.00
FatalEagle,0.00,0.00,0.00,5,0,-,C++,31,0,0,0,0,0,0,0,0,11016,2524,0.00
DireWolf,-,-,-,4,-,-,C++,42,-,1,-,-,-1,1,-,-,-,-,-
polmauri,0.00,0.00,0.00,1,0,-,C++,19,0,0,0,0,0,0,0,0,10728,2476,0.00
Uhateme,0.00,0.00,0.00,19,0,-,C++,83,0,0,0,0,134,9,0,0,13528,2520,0.00
pruthvianvesh,0.00,0.00,0.00,1,0,-,C,24,0,0,0,0,0,0,0,0,7752,2136,0.00
Shangke7788,0.00,0.00,0.00,2,0,-,C++,29,0,0,0,0,0,2,0,0,10808,2588,0.00
abhishekgarg2009,0.00,0.00,0.00,0,0,-,C++,35,0,0,0,0,0,0,0,0,8344,2700,0.00
mniip,0.00,0.00,0.00,3,0,-,C,32,0,0,0,0,0,0,0,0,7688,2272,0.00
GOMazk,0.00,0.00,0.00,1,0,3.5,Python,11,0,0,0,0,2,0,0,0,-,7224,0.00
dalex,0.01,0.04,0.00,23,0,-,java,155,0,0,0,0,1,4,64,0,-,21704,0.04
andrewstewart25,0.00,0.01,0.00,3,0,2.7,Python,23,0,0,0,0,0,0,0,0,-,6604,0.01
sinen,0.00,0.00,0.00,5,0,-,C++,41,0,0,0,0,0,3,8,0,12176,2628,0.00
StefanPochmann,0.00,0.00,0.00,1,0,2.7,Python,5,0,0,0,0,0,0,0,0,-,6600,0.00
Alexiski,0.00,0.00,0.00,2,0,-,C++,25,0,0,0,0,0,0,0,0,10600,2616,0.00
pulgares,0.00,0.00,0.00,7,0,-,C++,49,0,0,0,0,0,0,0,0,9816,2744,0.00
JanKuipers,0.00,0.00,0.00,10,0,-,C++,56,0,0,0,0,0,1,0,0,10840,2596,0.00
Gedas,0.00,0.00,0.00,3,0,2.7,Python,12,0,0,0,0,2,0,0,0,-,6192,0.00
pacu,0.00,0.00,0.00,2,0,-,C++,23,0,0,0,0,0,0,0,0,11080,2540,0.00
JamesSParker,0.00,0.08,0.01,2,0,-,java,22,0,0,0,0,0,3,64,0,-,24708,0.07
TryAndSee,0.00,0.00,0.00,4,0,-,C++,28,0,0,0,0,0,4,0,0,12208,2464,0.00
romanandreev,-,-,-,4,-,-,C++,55,-,0,-,-,134,0,-,-,11552,-,-
oldcatfish,0.00,0.00,0.00,11,0,2.7,Python,21,0,0,0,0,0,3,8,0,-,6360,0.00
PauL,0.00,0.00,0.00,31,0,-,C++,50,0,0,0,0,0,1,0,0,12432,2508,0.00
domingos86,0.00,0.06,0.00,11,0,-,java,50,0,0,0,0,1,0,64,0,-,21356,0.03
disneyp,-,-,-,1,-,-,C++,21,-,4,-,-,-1,0,-,-,-,-,-
bocong,0.00,0.02,0.00,6,0,2.7,Python,22,0,0,0,0,0,0,0,0,-,6636,0.02
Lonelywolf,0.00,0.00,0.00,5,0,2.7,Python,16,0,0,0,0,0,0,0,0,-,6300,0.00
Gural,-,-,-,1,-,-,C++,35,-,4,-,-,-1,0,-,-,-,-,-
Plat5,0.00,0.00,0.00,20,0,-,C++,42,0,0,0,0,1,8,0,0,17488,2636,0.00
quangbx,0.00,0.04,0.00,3,0,-,java,49,0,0,0,0,1,1,64,0,-,21528,0.03
snaury,0.00,0.00,0.00,4,0,-,C++,53,0,0,0,0,0,6,0,0,13528,2532,0.00
Spelvin,0.00,0.03,0.00,6,0,2.7,Python,37,0,0,0,0,0,0,8,0,-,6420,0.03
Jhamra,-,-,-,11,-,-,C++,42,-,0,-,-,-15,0,-,-,11000,-,-
wangsh,0.00,0.00,0.00,4,0,-,C++,44,0,0,0,0,0,1,0,0,8552,2236,0.00
azsorkin,0.00,0.00,0.00,5,0,2.7,Python,17,0,0,0,0,0,2,0,0,-,6420,0.00
YBZ,0.02,0.58,0.01,3,0,-,C++,26,0,0,0,0,0,0,137184,0,10408,2612,0.56
TheDevilOnline,0.00,0.00,0.00,4,0,2.7,Python,10,0,0,0,0,0,3,0,0,-,6276,0.00
osmanorhan,0.00,0.00,0.00,10,0,-,C++,68,0,0,0,0,0,0,0,0,10216,2624,0.00
WJMZBMR,0.00,0.00,0.00,1,0,-,C++,22,0,0,0,0,0,0,0,0,10280,2584,0.00
jtcoder,0.00,0.04,0.00,14,0,-,java,63,0,0,0,0,1,1,64,0,-,21640,0.04
wilwell,0.00,0.00,0.00,1,0,2.7,Python,24,0,0,0,0,2,0,0,0,-,6056,0.00
alexwice,0.00,0.00,0.00,2,0,2.7,Python,16,0,0,0,0,0,2,8,0,-,6536,0.00
GrayFox,0.00,0.00,0.00,4,0,-,C++,32,0,0,0,0,0,0,0,0,11856,2444,0.00
chrisx,0.00,0.00,0.00,12,0,3.5,Python,42,0,0,0,0,2,0,0,0,-,7220,0.00
jfawkes,0.00,0.00,0.00,21,0,2.7,Python,50,0,0,0,0,0,4,0,0,-,6484,0.00
