user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
,0,0.00,0.00,1,3.5,Python,47,0,1,0,0,2,10,0,0,-,7164,0.00
0w1,0,0.00,0.00,0,-,C++,14,0,0,0,0,0,0,0,0,7216,2408,0.00
0x1337,0,0.00,0.00,6,-,C++,36,0,0,0,0,0,0,0,0,10072,2480,0.00
0x42,0,0.05,0.01,28,-,Java,64,0,1,0,0,1,1,64,0,2238,21484,0.03
1010110001010,-,-,-,1,-,C++,12,-,4,-,-,-1,0,-,-,-,-,-
12rmshe,0,0.00,0.00,3,-,C++,37,0,0,0,0,0,9,1328,0,8880,2600,0.00
1E60,0,0.03,0.00,5,-,C++,77,0,0,0,0,0,15,0,0,9384,2256,0.03
200,0,0.00,0.00,10,2.7,Python,28,0,0,0,0,2,0,0,0,-,6096,0.00
354898002,0,0.46,0.05,21,-,C++,36,0,0,0,0,0,0,169944,0,8744,2624,0.40
3bdelra7man,0,0.00,0.00,1,-,C++,32,0,0,0,0,0,2,0,0,9992,2676,0.00
3omda,0,0.00,0.00,6,-,C++,20,0,0,0,0,0,2,0,0,9968,2584,0.00
6eJIa9IzZzTeHb,0,0.00,0.00,16,-,C++,58,0,0,0,0,0,1,0,0,9952,2528,0.00
74th,0,0.00,0.00,9,2.7,Python,24,0,0,0,0,0,2,0,0,-,6832,0.00
8cbx,0,0.00,0.00,0,-,C++,17,0,0,0,0,0,0,0,0,7208,2368,0.00
9gix,0,0.00,0.00,12,3.5,Python,35,0,1,0,0,2,0,0,0,-,7212,0.00
A0sorgv,-,-,-,9,-,C++,27,-,1,-,-,-1,5,-,-,-,-,-
ABHISHEK004,0,0.77,0.07,25,-,C++,80,0,0,0,0,0,1,186424,0,14784,2380,0.70
ACalvin,0,0.00,0.00,0,-,C++,23,0,0,0,0,0,0,0,0,8000,2288,0.00
ACgege,0,0.00,0.00,7,-,C++,33,0,0,0,0,0,0,0,0,8560,2524,0.00
ADJA,0,0.00,0.00,9,-,C++,33,0,0,0,0,0,2,0,0,8336,2520,0.00
AFGhazy,0,0.00,0.00,3,-,C++,48,0,0,0,0,0,0,0,0,11288,2376,0.00
AIDUMP,-,-,-,7,-,C++,47,-,1,-,-,-1,3,-,-,-,-,-
AJ721,0,0.06,0.02,11,-,Java,64,0,1,0,0,1,60,64,0,2313,21316,0.04
AK93,0,0.00,0.00,4,-,C++,42,0,0,0,0,0,0,0,0,10008,2320,0.00
AKim,0,0.00,0.00,12,-,C++,61,0,0,0,0,0,1,0,0,11376,2708,0.00
ALOHAYS,0,0.00,0.00,5,-,C++,39,0,1,0,0,127,0,0,0,-,1436,0.00
ANEvans,0,0.08,0.00,5,-,Java,25,0,0,0,0,0,3,64,0,1003,24612,0.08
ASverdlov,0,0.00,0.00,3,-,C++,26,0,0,0,0,0,1,0,0,11000,2568,0.00
