user_id,blanks,comments,language,cloc,avg_memory,wall_clock,system_time,compiler_version,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
,1,10,Python,47,,,,,,,,,,,,,,
0w1,0,0,C++,14,0,0.00,0.00,-,0,0,0,0,0,0,0,7216,2424,0.00
0x1337,6,0,C++,36,0,0.00,0.00,-,0,0,0,0,0,0,0,10072,2608,0.00
0x42,28,1,Java,64,0,0.04,0.00,-,0,1,0,0,1,64,0,-,21532,0.04
1010110001010,1,0,C++,12,-,-,-,-,-,4,-,-,-1,-,-,-,-,-
12rmshe,3,9,C++,37,0,0.00,0.00,-,0,0,0,0,0,1328,0,8872,2512,0.00
200,10,0,Python,28,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6204,0.00
354898002,21,1,C++,35,-,-,-,-,-,0,-,-,-15,-,-,8584,-,-
3bdelra7man,1,2,C++,32,0,0.00,0.00,-,0,0,0,0,0,0,0,9992,2512,0.00
3omda,6,2,C++,20,0,0.00,0.00,-,0,0,0,0,0,0,0,9968,2584,0.00
6eJIa9IzZzTeHb,16,1,C++,58,0,0.00,0.00,-,0,0,0,0,0,0,0,9952,2536,0.00
74th,8,2,Python,25,0,0.00,0.00,2.7,0,0,0,0,0,0,0,-,6752,0.00
8cbx,0,0,C++,17,0,0.00,0.00,-,0,0,0,0,0,0,0,7208,2272,0.00
9gix,12,0,Python,35,0,0.00,0.00,3.5,0,1,0,0,2,0,0,-,7220,0.00
A0sorgv,9,5,C++,27,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
ABHISHEK004,25,1,C++,80,0,0.72,0.04,-,0,0,0,0,0,186424,0,14800,2628,0.67
ACalvin,0,0,C++,23,0,0.00,0.00,-,0,0,0,0,0,0,0,7992,2316,0.00
ACgege,7,0,C++,33,0,0.00,0.00,-,0,0,0,0,0,0,0,8552,2496,0.00
ADJA,9,2,C++,33,0,0.00,0.00,-,0,0,0,0,0,0,0,8336,2608,0.00
AFGhazy,3,0,C++,48,0,0.00,0.00,-,0,0,0,0,0,0,0,11288,2580,0.00
AIDUMP,7,3,C++,47,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
AJ721,11,60,Java,64,0,0.05,0.00,-,0,1,0,0,1,64,0,-,21420,0.04
AK93,4,0,C++,42,0,0.00,0.00,-,0,0,0,0,0,0,0,10008,2380,0.00
AKim,12,1,C++,61,0,0.00,0.00,-,0,0,0,0,0,0,0,11376,2760,0.00
ALOHAYS,5,0,C++,42,0,0.00,0.00,-,0,1,0,0,127,0,0,-,1380,0.00
ANEvans,5,3,Java,25,0,0.07,0.00,-,0,0,0,0,0,64,0,-,24700,0.07
ASverdlov,3,1,C++,26,0,0.00,0.00,-,0,0,0,0,0,0,0,11000,2568,0.00
AaronYChan,10,3,Java,38,0,0.05,0.00,-,0,1,0,0,1,64,0,-,21692,0.04
Abacist,11,3,C++,38,0,0.00,0.00,-,0,0,0,0,0,0,0,11288,2472,0.00
AbhiAb,3,5,C++,47,0,0.00,0.00,-,0,0,0,0,0,0,0,9992,2568,0.00
AeroAhn,9,0,C,33,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
Agentchuck,15,4,C++,57,0,0.00,0.00,-,0,0,0,0,255,0,0,11728,2480,0.00
AhmedFathyAly,15,11,Java,81,0,0.04,0.00,-,0,1,0,0,1,64,0,-,21704,0.03
AizukiKoh,3,0,C#,69,0,0.01,0.00,-,0,0,0,0,0,0,0,-,14452,0.00
Aj5774,8,2,C++,54,0,0.52,0.00,-,0,0,0,0,0,137160,0,10992,2584,0.51
Ajlohr,2,0,Java,28,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21284,0.04
Akigeor,0,1,C++,43,0,0.00,0.00,-,0,0,0,0,0,0,0,8248,2696,0.00
Aksenov239,10,0,Java,44,0,0.04,0.01,-,0,0,0,0,0,64,0,-,21552,0.03
Alamin,12,9,C++,69,0,0.00,0.00,-,0,0,0,0,0,0,0,10224,2644,0.00
Alcarinquo,6,0,C++,27,0,0.00,0.00,-,0,0,0,0,0,0,0,9656,2740,0.00
Aleksander,12,2,C++,42,0,0.00,0.00,-,0,0,0,0,0,0,0,8984,2672,0.00
AlexAlvarez,3,0,C++,18,0,0.00,0.00,-,0,0,0,0,0,0,0,10000,2588,0.00
AlexVistyazh,9,1,C++,34,0,0.00,0.00,-,0,0,0,0,0,0,0,10176,2612,0.00
AlexanderL,5,4,C++,32,0,0.00,0.00,-,0,-15,0,0,127,0,0,-,1428,0.00
AlexanderSM,10,0,Java,45,-,-,-,-,-,1,-,-,-1,-,-,-,-,-
Alexnus,10,3,Java,28,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21408,0.03
Alextrovert,13,2,C++,98,0,0.00,0.00,-,0,0,0,0,0,0,0,10320,2676,0.00
Algiz,4,0,C++,18,0,0.00,0.00,-,0,0,0,0,0,0,0,10048,2472,0.00
AlohaDH,2,0,C++,17,0,0.00,0.00,-,0,1,0,0,127,0,0,-,1344,0.00
Alramech,5,11,Python,36,0,0.00,0.00,2.7,0,0,0,0,2,0,0,-,6220,0.00
AlthafMohammed,9,0,Java,46,0,0.04,0.00,-,0,0,0,0,1,64,0,-,21292,0.04
Alwahsh,6,14,C++,36,0,0.00,0.00,-,0,0,0,0,134,0,0,11312,2520,0.00
