user_id,avg_memory,wall_clock,system_time,blanks,compiler_version,language,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0w1,0,0.00,0.00,0,-,C++,34,0,0,0,0,0,0,0,0,32960,-,-,2288,0.00
0x42,0,0.10,0.00,26,-,Java,71,0,0,0,0,0,1,80,0,2603,-,-,29120,0.08
12rmshe,-,-,-,1,-,C++,63,-,0,-,-,-15,15,-,-,10136,-,Timeout,-,-
200,0,0.00,0.00,11,2.7,Python,41,8,0,0,0,0,0,8,0,1685,-,-,6724,0.00
354898002,-,-,-,20,-,C++,46,-,0,-,-,-15,0,-,-,9848,-,Timeout,-,-
3bdelra7man,0,0.00,0.00,2,-,C++,65,0,0,0,0,0,3,0,0,24632,-,-,2648,0.00
6eJIa9IzZzTeHb,-,-,-,17,-,C++,71,-,0,-,-,-15,4,-,-,32744,-,Timeout,-,-
8cbx,0,0.00,0.00,0,-,C++,80,0,0,0,0,0,13,0,0,7912,-,-,2260,0.00
ABHISHEK004,-,-,-,40,-,C++,160,-,0,-,-,-15,6,-,-,17616,-,Timeout,-,-
ACalvin,0,0.00,0.00,0,-,C++,53,0,0,0,0,0,0,0,0,37640,-,-,2304,0.00
ACgege,0,0.03,0.00,14,-,C++,60,0,0,0,0,0,4,8,0,9832,-,-,2612,0.03
ADJA,0,0.11,0.00,15,-,C++,69,0,0,0,0,0,3,0,0,9144,-,-,2600,0.11
AFGhazy,0,4.18,3.11,4,-,C++,41,0,0,0,0,0,0,137200,0,11232,-,-,2584,1.06
AIDUMP,-,-,-,7,-,C++,60,-,1,-,-,-1,3,-,-,-,No such file or directory,-,-,-
AIMag,0,0.00,0.00,13,-,C++,78,0,0,0,0,0,0,0,0,17408,-,-,2596,0.00
AISarkin,0,1.92,0.00,24,-,C++,67,0,0,0,0,0,0,0,0,24744,-,-,2492,1.90
AK93,-,-,-,7,-,C++,85,-,0,-,-,-15,0,-,-,55824,-,Timeout,-,-
AKim,0,0.00,0.00,12,-,C++,73,0,0,0,0,0,1,0,0,11664,-,-,2708,0.00
AaronYChan,0,0.07,0.00,18,-,Java,80,0,0,0,0,0,1,80,0,3282,-,-,25864,0.06
Abacist,0,0.00,0.00,14,-,C++,68,0,0,0,0,0,1,0,0,42840,-,-,2500,0.00
AhmadMamdouh,0,0.08,0.00,10,-,Java,111,0,0,0,0,0,2,80,0,2152,-,-,27212,0.07
AhmedFathyAly,0,5.73,0.12,21,-,Java,136,0,0,0,0,0,12,80,0,3681,-,-,751688,5.60
AizukiKoh,0,0.02,0.00,3,-,C#,78,0,0,0,0,0,0,0,0,4096,-,-,13248,0.02
Aj5774,0,0.00,0.00,17,-,C++,71,0,0,0,0,135,14,0,0,19440,-,Unknown,2304,0.00
Ajlohr,0,7.60,0.05,7,-,Java,90,0,0,0,0,0,0,72,0,2481,-,-,118480,7.79
Akigeor,0,0.00,0.00,0,-,C++,65,0,0,0,0,0,1,0,0,8544,-,-,2620,0.00
Aksenov239,0,0.05,0.00,13,-,Java,62,0,0,0,0,0,0,80,0,2054,-,-,24784,0.04
Alcarinquo,0,0.00,0.00,14,-,C++,82,0,0,0,0,0,0,0,0,9960,-,-,2592,0.00
Aleksander,0,0.00,0.00,13,-,C++,51,0,0,0,0,0,2,944,0,17080,-,-,2592,0.00
AlexAlvarez,-,-,-,10,-,C++,52,-,0,-,-,-15,5,-,-,20576,-,Timeout,-,-
AlexanderL,0,0.00,0.00,6,-,C++,52,0,0,0,0,0,4,0,0,10064,-,-,2484,0.00
Alexnus,0,0.22,0.00,16,-,Java,62,0,0,0,0,1,1,72,0,2408,-,java.lang.ArrayIndexOutOfBoundsException:,23664,0.03
AmolMandhane,0,0.00,0.00,5,2.7,Python,23,8,0,0,0,0,0,0,0,2065,-,-,6840,0.00
Amoo,0,0.00,0.00,3,-,C++,29,0,0,0,0,0,0,0,0,17704,-,-,2580,0.00
Andrei6184,0,0.00,0.00,2,-,C++,30,0,0,0,0,0,0,0,0,10056,-,-,2564,0.00
Andretti,0,0.00,0.00,12,-,C++,42,0,0,0,0,0,1,0,0,8544,-,-,2216,0.00
Andryxa,-,-,-,6,-,C++,85,-,1,-,-,-1,0,-,-,-,Unknown error,-,-,-
AndyBear,0,0.04,0.00,11,-,C++,97,0,0,0,0,0,6,0,0,38752,-,-,25916,0.03
AnhDo,0,0.00,0.00,0,-,C++,30,0,1,0,0,127,6,0,0,-,Unknown error,Command not found,1384,0.00
Anton92nd,0,0.00,0.00,5,-,C++,72,0,0,0,0,0,1,944,0,17296,-,-,2612,0.00
Antrax,0,0.08,0.01,3,-,Java,44,0,0,0,0,0,13,80,0,1523,-,-,26628,0.06
AnuarTB,-,-,-,15,-,C++,63,-,0,-,-,-15,0,-,-,11264,-,Timeout,-,-
AnybodyButClinton,0,0.00,0.00,4,-,C++,34,0,0,0,0,0,1,0,0,34120,-,-,2504,0.00
AravindaDP,0,0.02,0.00,10,-,C#,54,0,0,0,0,1,0,0,0,4096,-,: System.IndexOutOfRangeException,10208,0.02
Arcey,0,0.02,0.00,3,-,C++,34,0,0,0,0,0,0,8,0,10896,-,-,2476,0.02
Areseye,0,0.50,0.01,11,-,C++,64,0,0,0,0,0,6,137200,0,10128,-,-,2604,0.49
