user_id,syatem_time,wall_clock,system_time,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
asdacap,0.00,-,-,13,-,C++,-,36,-,127,-,-,-1,0,-,-,-,-,-
Burney,-,-,-,0,-,C++,-,34,-,127,-,-,-1,2,-,-,-,-,-
7HM,0.01,0.08,0.00,16,0,java,-,45,0,0,0,0,0,5,72,0,-,29524,0.07
doublehh,0.00,-,-,5,-,C++,-,47,-,127,-,-,-1,9,-,-,-,-,-
bocong,0.00,0.00,0.00,2,0,Python,2.7,14,0,0,0,0,0,0,0,0,-,6432,0.00
DireWolf,-,-,-,10,-,C++,-,44,-,127,-,-,-1,1,-,-,-,-,-
polmauri,0.00,-,-,3,-,C++,-,32,-,127,-,-,-1,0,-,-,-,-,-
Uhateme,0.00,-,-,17,-,C++,-,81,-,127,-,-,-1,9,-,-,-,-,-
pruthvianvesh,0.06,-,-,1,-,C,-,50,-,127,-,-,-1,0,-,-,-,-,-
LauZi,0.00,-,-,7,-,C++,-,28,-,127,-,-,-1,0,-,-,-,-,-
Shangke7788,0.00,-,-,2,-,C++,-,45,-,127,-,-,-1,2,-,-,-,-,-
abhishekgarg2009,0.00,-,-,0,-,C++,-,38,-,127,-,-,-1,0,-,-,-,-,-
mniip,0.00,-,-,1,-,C,-,37,-,127,-,-,-1,0,-,-,-,-,-
GOMazk,0.00,0.00,0.00,1,0,Python,2.7,20,0,0,0,0,0,0,0,0,-,6548,0.00
dalex,0.00,0.04,0.01,24,0,java,-,171,0,0,0,0,1,4,64,0,-,21564,0.03
andrewstewart25,0.00,0.00,0.00,2,0,Python,2.7,22,0,0,0,0,0,0,0,0,-,6556,0.00
sinen,0.00,0.01,0.00,5,0,Python,2.7,31,0,0,0,0,0,2,8,0,-,6504,0.00
StefanPochmann,0.00,0.01,0.00,1,0,Python,2.7,12,0,0,0,0,0,0,0,0,-,6508,0.00
recycle,0.00,0.01,0.00,3,0,Python,2.7,15,0,0,0,0,0,3,0,0,-,6472,0.00
pulgares,0.00,-,-,6,-,C++,-,42,-,127,-,-,-1,0,-,-,-,-,-
