user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,max_RAM,user_time
00dnvtmf,0,0.05,0.00,109,0,C++,105,0,0,0,0,2,0,0,41160,-,2764,0.02
0o0zt,0,0.20,0.00,103,0,C++,69,0,0,0,0,23,0,0,39224,-,18452,0.20
0rang3,0,0.00,0.00,32,0,C++,128,0,0,0,134,0,0,0,66416,-,5020,0.00
11122976,-,-,-,112,-,C++,85,-,1,-,-1,7,-,-,-,-,-,-
1NCID3R,0,0.15,0.00,145,0,C++,106,0,0,0,0,0,0,0,53800,-,9264,0.15
916852,-,-,-,11,-,C++,69,-,0,-,-15,0,-,-,61184,-,-,-
ACube,0,0.06,0.00,12,0,C++,74,0,0,0,0,3,0,0,53680,-,2916,0.06
AISarkin,0,8.91,0.03,7,0,C++,97,0,0,0,0,0,0,0,53936,-,128384,8.87
AJ721,-,-,-,13,-,Python,93,-,0,-,1,21,-,-,3102,2.7,-,-
ARechitsky,-,-,-,19,-,Java,148,-,1,-,-1,6,-,-,-,-,-,-
Ahyangyi,0,0.04,0.00,6,0,C++,85,0,0,0,0,0,0,0,77872,-,2832,0.04
AlexFetisov,0,0.04,0.00,36,0,Java,185,0,0,0,0,1,64,0,2370,-,21272,0.03
Amirnasr,0,0.01,0.00,12,0,C++,86,0,0,0,0,3,8,0,63968,-,6680,0.01
AnatolyTolstobrov,-,-,-,96,-,C#,452,-,0,-,1,47,-,-,9728,-,-,-
Andrei6184,0,0.03,0.02,67,0,C++,57,0,0,0,0,0,1576,0,65984,-,2484,0.00
Angor,0,0.00,0.00,138,0,C++,102,0,0,0,134,1,0,0,78128,-,2500,0.00
AnonymousBunny,0,0.09,0.00,116,0,C++,95,0,0,0,0,3,0,0,53496,-,2876,0.09
Anta0,0,0.04,0.00,111,0,C++,105,0,0,0,0,0,0,0,81552,-,2732,0.04
Antoniuk,0,0.00,0.00,94,0,C++,327,0,0,0,134,3,0,0,96464,-,2708,0.00
Arcturus,-,-,-,192,-,C++,130,-,1,-,-1,4,-,-,-,-,-,-
Baian98,0,0.00,0.00,7,0,C++,84,0,0,0,134,7,0,0,61920,-,2560,0.00
Balajiganapathi,0,0.00,0.00,43,0,C++,207,0,0,0,0,17,0,0,79456,-,2492,0.00
BaturaDima,-,-,-,405,-,C++,88,-,1,-,-1,265,-,-,-,-,-,-
Belonogov,0,0.06,0.00,16,0,C++,100,0,0,0,0,3,0,0,52280,-,2772,0.06
BenZ,0,0.25,0.00,5,0,C++,77,0,0,0,0,0,0,0,38232,-,3768,0.25
Bertje,-,-,-,15,-,Java,76,-,1,-,-1,0,-,-,-,-,-,-
Bobik,0,0.06,0.00,11,0,Python,38,0,0,0,0,0,0,0,1794,3.5,7936,0.06
Brian,0,1.04,0.00,6,0,Python,47,0,0,0,0,0,0,0,1341,2.7,7328,1.04
