user_id,blanks,comments,language,cloc
cosminp,13,0,C++,98
liar,9,0,Python,62
stubbscroll,5,11,C,91
Tejs,7,0,C++,88
maopao,0,11,C++,301
TimeString,15,2,C++,153
dojiboy9,59,3,C++,106
Lark,30,9,Python,122
Selv,18,0,Python,103
sandeep94pr,7,4,C++,111
Balajiganapathi,45,18,C++,220
tomlau,8,0,C++,66
YiZhongXunHuan,13,3,C++,111
dmute,12,4,C++,148
daifei4321,3,1,Java,126
Jonick,8,0,C++,86
ZhNV,15,0,C++,105
JDJake,45,9,C++,152
mkdong,14,9,C++,229
machy,10,0,C++,93
inutard,24,23,C++,162
dalex,34,5,Java,314
sinen,2,5,C++,86
bayleef,5,0,C++,220
flash7,22,21,C++,181
wooyaggo,19,0,C++,161
boris4,7,0,C++,101
zhangmx,7,13,C++,236
agul,122,9,C++,453
Zuza,22,4,C++,100
microtony,1,1,C++,82
johnLate,23,1,Python,50
Neroysq,9,2,C++,109
Alaska,4,2,C++,107
wxnfifth,16,25,C++,83
lemourin,22,2,C++,155
BudAlNik,22,2,C++,114
aguy,43,16,Python,255
Anta0,2,0,C++,96
domingos86,13,11,Java,100
Ananya,10,1,Python,109
lewha0,19,1,C++,162
arteffi,16,32,Python,76
Ra1nWarden,7,7,C++,167
sanekspot,42,10,C++,292
quansiji9,16,16,C++,115
Spooky,17,1,Java,147
kubusgol,21,19,Java,211
hiukim,40,64,Java,206
try,6,0,C++,197
akashin,34,15,C++,250
ltg2030,5,0,C++,178
Murat,22,1,C++,223
masafumi,22,10,C++,146
arganos,48,22,C++,158
mahbubcseju,19,12,C++,221
snowbear,27,0,C++,112
khsoo01,2,0,C++,247
Wernie,6,1,C++,113
DVH312,29,3,C++,135
flashmt,7,0,C++,108
sayumeki,26,3,Python,82
kucingimbalance,12,0,C++,113
Tott,19,6,C++,132
osmanorhan,13,7,C++,97
neighthan,13,4,Python,79
aropan,10,0,C++,97
myp09,7,4,Java,146
Sfairat,17,5,C++,203
Kalina,15,7,C++,110
Trasier,38,20,C++,247
lnsuyn,7,0,C++,243
primenumber,6,0,C++,95
Smithers,17,5,C,117
Srdce,5,0,C++,209
avolchek,34,6,C++,281
sayuan,3,2,Java,84
kopyh,1,4,C++,127
ufo,2,3,C++,127
nmikhailov,33,6,Java,186
awzy,3,46,Java,143
mazaspucesfans,23,2,C++,135
ballonguy,15,3,C++,109
Fory,6,0,C++,239
siawasesun,28,0,C++,173
rantd,10,0,C++,162
Salls,8,2,Python,120
sonka,38,15,Python,196
amtematem,7,0,Java,98
sazerterus,20,4,C++,188
ania7,5,0,C++,145
Nikitosh,15,7,C++,208
ProjectZer0,31,28,C++,167
nhho,7,1,C++,119
BeniBela,16,9,C++,133
nullstellensatz,14,8,C++,103
vtcb,21,0,C++,79
andrewzta,6,0,Python,57
waic,11,6,C++,99
timdumol,13,10,Python,81
tkociumaka,12,0,C++,109
krzysobusiak,17,0,C++,108
darkKelvin,7,14,C++,143
along,7,0,C,154
jelffers,0,10,C++,79
a142857a,22,2,C++,204
lidaobing,26,0,Python,80
antonkovsharov,14,0,Java,132
duongnd,10,1,C++,114
KarlisS,15,14,Python,51
