user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
BluePrint,0.00,0.00,1,0,C++,-,53,0,0,0,0,0,1,0,0,2612,0.00
lab104yifan,0.00,0.00,4,0,C++,-,52,0,0,0,0,0,0,0,0,2252,0.00
JESI,0.00,0.00,25,0,C++,-,69,0,134,0,0,134,2,0,0,2612,0.00
elvina,0.00,0.00,7,0,C++,-,62,0,0,0,0,0,1,0,0,2636,0.00
Rike,0.00,0.00,7,0,Python,2.7,33,0,2,0,0,2,2,0,0,6192,0.00
ProphetOvDarkness,0.00,0.01,18,0,C++,-,103,0,0,0,0,0,17,816,0,2772,0.00
Ixanezis,0.00,0.00,7,0,C++,-,37,0,0,0,0,0,0,0,0,2408,0.00
kojingharang,0.00,0.00,9,0,C++,-,117,0,0,0,0,0,13,0,0,2528,0.00
abhishekgarg2009,0.00,0.00,0,0,C++,-,57,0,0,0,0,0,0,0,0,2584,0.00
Pierroteknik,0.00,0.01,4,0,Python,3.5,42,0,2,0,0,2,1,0,0,7200,0.00
vteotia9,0.00,0.00,4,0,C++,-,47,0,0,0,0,0,1,0,0,2508,0.00
seland,0.00,0.00,11,0,C++,-,92,0,0,0,0,0,0,0,0,2580,0.00
Ticktock,0.00,0.08,3,0,java,-,72,0,0,0,0,0,0,64,0,25400,0.08
StefanPochmann,0.00,0.01,2,0,Python,3.5,16,0,2,0,0,2,2,0,0,7204,0.00
Alexiski,0.00,0.00,5,0,C++,-,55,0,0,0,0,0,0,0,0,2468,0.00
pulgares,0.00,0.00,7,0,C++,-,64,0,0,0,0,0,0,0,0,2640,0.00
flash7,0.00,0.00,10,0,C++,-,103,0,134,0,0,134,21,0,0,2592,0.00
MatusH,0.00,0.00,19,0,C++,-,81,0,0,0,0,0,1,0,0,2384,0.00
meixinyu,0.00,0.00,0,0,C++,-,101,0,0,0,0,0,5,0,0,2616,0.00
Gedas,0.00,0.00,5,0,Python,2.7,20,0,2,0,0,2,0,0,0,6208,0.00
damianhxy,0.00,0.00,3,0,C++,-,48,0,0,0,0,0,0,0,0,2504,0.00
koichinakamura,0.00,0.01,5,0,Python,3.5,27,0,2,0,0,2,0,0,0,7192,0.00
delps,-,-,37,-,C#,-,142,-,-1,-,-,-1,0,-,-,-,-
johnLate,0.00,0.00,14,0,C++,-,76,0,0,0,0,0,0,0,0,2492,0.00
TryAndSee,0.00,0.00,5,0,C++,-,52,0,0,0,0,0,3,8,0,2504,0.00
wxnfifth,0.00,0.00,13,0,C++,-,56,0,139,0,0,139,0,0,0,2380,0.00
oldcatfish,0.00,0.00,12,0,Python,2.7,38,0,2,0,0,2,5,0,0,6224,0.00
Dealmaster13,0.00,0.00,21,0,C#,-,103,0,2,0,0,2,0,0,0,12052,0.00
disneyp,-,-,3,-,C++,-,60,-,-1,-,-,-1,0,-,-,-,-
killerrex,0.00,0.00,20,0,Python,2.7,54,0,0,0,0,0,21,0,0,6972,0.00
Vytas,0.00,0.12,32,0,Python,2.7,115,0,0,0,0,0,16,0,0,12568,0.02
zizhong,0.00,0.00,2,0,C++,-,69,0,0,0,0,0,9,0,0,2556,0.00
Mariammmm,0.00,0.05,16,0,java,-,94,0,1,0,0,1,2,64,0,21892,0.04
minchurl,0.00,0.00,0,0,C++,-,55,0,0,0,0,0,0,0,0,2220,0.00
Longi,-,-,15,-,Python,2.7,29,-,1,-,-,1,2,-,-,-,-
programcaicai,0.00,0.00,17,0,Python,3.5,37,0,2,0,0,2,0,0,0,7220,0.00
snaury,0.00,0.00,2,0,C++,-,49,0,0,0,0,0,0,0,0,2600,0.00
Spelvin,0.00,0.01,4,0,Python,2.7,44,0,0,0,0,0,0,8,0,6504,0.00
gvoin,0.00,0.00,3,0,C++,-,38,0,0,0,0,0,2,0,0,2784,0.00
Jhamra,-,-,15,-,C++,-,63,-,-15,-,-,-15,0,-,-,-,-
YBZ,0.00,0.00,16,0,C++,-,68,0,0,0,0,0,4,0,0,2404,0.00
9aman,0.03,0.05,1,0,C++,-,55,0,0,0,0,0,0,880,0,2640,0.02
lucasdfr,-,-,2,-,java,-,72,-,-1,-,-,-1,0,-,-,-,-
nosnosnos,0.00,0.00,20,0,C++,-,91,0,0,0,0,0,0,0,0,2588,0.00
Xtrm0,0.00,0.00,3,0,C++,-,50,0,0,0,0,0,0,0,0,2664,0.00
