user_id,avg_memory,wall_clock,system_time,blanks,avg_RAM,language,cloc,nbr_file_in,compiled,swap_main_memory,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compiler_version,compile_error_msg,run_error_msg,max_RAM,user_time
0alex,-,-,-,23,-,C++,134,-,1,-,-1,11,-,-,-,-,Unknown error,-,-,-
112atn323,0,0.04,0.00,8,0,Java,100,0,0,0,1,0,72,0,3131,-,-,java.io.FileNotFoundException:,23736,0.03
178855371157,0,0.42,0.00,9,0,Python,34,8,0,0,0,4,0,0,1188,2.7,-,-,6608,0.42
1E60,0,0.24,0.00,1,0,C++,61,0,0,0,0,5,0,0,9248,-,-,-,2292,0.12
1NCID3R,0,0.15,0.00,18,0,C++,78,0,0,0,0,5,0,0,17784,-,-,-,2424,0.07
2jjy,0,0.00,0.00,0,0,C++,54,0,0,0,0,1,0,0,9056,-,-,-,2516,0.00
37ae912,-,-,-,20,-,C++,66,-,1,-,-1,6,-,-,-,-,expected primary-expression,-,-,-
4ameleon,-,-,-,13,-,C#,62,-,1,-,-1,0,-,-,-,-,: Program `Program.exe' does not contain a static `Main' method suitable for an ,-,-,-
551100kk,0,0.00,0.00,1,0,C++,40,0,0,0,0,0,0,0,10248,-,-,-,2524,0.00
7HM,-,-,-,24,-,Java,84,-,0,-,-15,12,-,-,1842,-,-,Timeout,-,-
ACMonster,0,0.05,0.00,6,0,C++,82,0,0,0,0,1,0,0,9080,-,-,-,2536,0.02
ACalvin,-,-,-,0,-,C++,58,-,2,-,-1,0,-,-,-,-,Unknown error,-,-,-
AFGhazy,0,0.00,0.00,36,0,C++,51,0,0,0,0,2,0,0,11056,-,-,-,2456,0.00
AJ721,0,0.04,0.01,12,0,Java,85,0,0,0,1,2,72,0,2221,-,-,java.io.FileNotFoundException:,23752,0.02
ARechitsky,0,0.05,0.01,20,0,Java,148,0,0,0,1,5,72,0,1609,-,-,java.lang.NullPointerException,25440,0.04
Abhinav2107,0,0.54,0.00,0,0,Python,35,8,0,0,0,0,0,0,930,2.7,-,-,6504,0.54
Abscp,0,0.00,0.00,0,0,C++,36,0,0,0,0,0,0,0,8200,-,-,-,2200,0.00
AcmerArthur,0,0.00,0.00,0,0,C++,48,0,0,0,0,0,0,0,9872,-,-,-,2512,0.00
AcrossTheSky,0,0.16,0.00,5,0,C++,122,0,0,0,0,1,0,0,9864,-,-,-,2520,0.08
Action,-,-,-,2,-,C#,94,-,0,-,1,0,-,-,4608,-,-,: System.IO.FileNotFoundException,-,-
