user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
0alex,0,0.00,0.00,14,C++,-,110,0,0,0,0,0,11,0,0,27024,2496,0.00
112atn323,0,0.04,0.00,6,Java,-,57,0,0,0,0,1,0,64,0,-,21384,0.04
178855371157,0,0.05,0.00,5,Python,2.7,14,0,0,0,0,0,0,0,0,-,6400,0.04
1E60,0,0.00,0.00,1,C++,-,41,0,0,0,0,0,0,0,0,7616,2420,0.00
1NCID3R,0,0.00,0.00,8,C++,-,42,0,0,0,0,0,2,0,0,9304,2372,0.00
1ed,0,0.04,0.00,27,Java,-,129,0,0,0,0,1,12,64,0,-,21464,0.04
2jjy,0,0.00,0.00,0,C++,-,38,0,0,0,0,0,0,0,0,9952,2564,0.00
354898002,0,0.00,0.00,50,C++,-,42,0,0,0,0,0,235,0,0,9848,2608,0.00
3of7,0,0.01,0.00,1,C++,-,44,0,0,0,0,0,0,0,0,17408,2548,0.00
551100kk,0,0.00,0.00,1,C++,-,22,0,0,0,0,0,0,0,0,10288,2520,0.00
7HM,0,0.25,0.02,13,Java,-,39,0,0,0,0,0,5,72,0,-,67000,0.26
8cbx,0,0.00,0.00,0,C++,-,52,0,0,0,0,0,2,0,0,7512,2284,0.00
ACMonster,0,0.00,0.00,6,C++,-,68,0,0,0,0,0,1,0,0,9832,2536,0.00
ACalvin,0,0.00,0.00,0,C++,-,33,0,0,0,0,0,0,0,0,8352,2284,0.00
ACgege,0,0.66,0.03,14,C++,-,43,0,0,0,0,0,0,153584,0,9800,2596,0.62
AFGhazy,0,0.07,0.00,30,C++,-,46,0,0,0,0,0,2,1072,0,11024,2692,0.07
AJ721,0,0.04,0.01,7,Java,-,55,0,1,0,0,1,0,64,0,-,21388,0.03
ARechitsky,0,0.05,0.00,17,Java,-,116,0,0,0,0,1,5,64,0,-,21588,0.04
ASotelo,0,0.04,0.00,2,Java,-,57,0,0,0,0,1,5,64,0,-,21488,0.03
AaronStockdill,0,0.00,0.00,3,Python,3.5,27,0,0,0,0,2,0,0,0,-,7224,0.00
Abesy,-,-,-,11,C++,-,119,-,1,-,-,-1,3,-,-,-,-,-
Abhinav2107,0,0.03,0.00,1,Python,2.7,18,0,0,0,0,0,0,0,0,-,6440,0.03
Abscp,0,0.00,0.00,0,C++,-,27,0,0,0,0,0,0,0,0,9912,2384,0.00
AcidBurn,0,0.00,0.00,9,C++,-,65,0,0,0,0,0,3,8,0,27904,2980,0.00
AcmerArthur,0,0.00,0.00,0,C++,-,34,0,0,0,0,0,0,0,0,9080,2440,0.00
AcrossTheSky,0,0.00,0.00,5,C++,-,109,0,0,0,0,0,1,0,0,10400,2532,0.00
Action,0,0.00,0.00,1,C#,-,66,0,0,0,0,2,0,0,0,-,12064,0.00
Agentchuck,0,0.00,0.00,16,C++,-,73,0,0,0,0,255,4,0,0,12224,2512,0.00
AhmadMamdouh,0,0.18,0.00,8,Java,-,70,0,0,0,0,0,1,72,0,-,31716,0.16
AidaoChen,0,0.53,0.02,0,C++,-,28,0,0,0,0,0,0,153584,0,11008,2516,0.50
AileenC,0,0.00,0.00,8,Python,2.7,56,0,0,0,0,2,0,0,0,-,6112,0.00
AizukiKoh,0,0.02,0.00,2,C#,-,66,0,0,0,0,0,0,0,0,-,17912,0.02
Ajlohr,0,0.28,0.01,8,Java,-,43,0,0,0,0,0,0,64,0,-,62648,0.27
Akigeor,0,0.00,0.00,0,C++,-,42,0,0,0,0,0,1,0,0,8712,2612,0.00
AlSaeed,0,0.01,0.00,6,C++,-,54,0,0,0,0,0,0,0,0,10176,2484,0.00
Alamin,0,0.00,0.00,10,C++,-,62,0,0,0,0,0,7,0,0,10112,2528,0.00
AlanC,0,0.00,0.00,7,C++,-,35,0,0,0,0,0,0,0,0,8000,2284,0.00
Alcarinquo,0,0.01,0.00,9,C++,-,36,0,0,0,0,0,0,0,0,8496,2704,0.00
Aleksei,0,0.00,0.00,1,C++,-,48,0,0,0,0,0,0,0,0,17776,2464,0.00
Alen,0,0.00,0.00,9,Python,2.7,53,0,0,0,0,2,2,0,0,-,6164,0.00
AlexBarry,0,0.00,0.00,16,Python,2.7,37,0,0,0,0,2,7,0,0,-,6164,0.00
AlexFetisov,0,2.60,0.00,13,Java,-,104,0,0,0,0,0,5,72,0,-,29552,2.60
AlexZhan,0,0.00,0.00,6,C++,-,28,0,0,0,0,0,0,0,0,7536,2428,0.00
Alexander86,0,0.00,0.00,5,C++,-,52,0,0,0,0,0,0,0,0,10168,2480,0.00
Alexiski,0,0.01,0.00,3,C++,-,41,0,0,0,0,0,0,0,0,17288,2596,0.00
Aliaksei,0,0.00,0.00,5,C++,-,59,0,0,0,0,0,2,8,0,16240,2696,0.00
AlohaAloha,0,0.00,0.00,6,C++,-,46,0,0,0,0,0,2,0,0,8720,2704,0.00
AlphaMiller,0,0.03,0.00,5,Python,2.7,20,0,0,0,0,0,2,0,0,-,6752,0.03
Alramech,0,0.00,0.00,4,Python,2.7,34,0,0,0,0,2,7,0,0,-,6132,0.00
Alwahsh,0,4.39,3.14,5,C++,-,40,0,0,0,0,0,0,153608,0,11784,2392,1.24
Ambling,0,0.23,0.00,8,Java,-,27,0,0,0,0,0,1,64,0,-,62268,0.25
Amirnasr,0,0.00,0.00,2,C++,-,43,0,0,0,0,0,0,0,0,17968,2592,0.00
AmolBhave,0,0.03,0.00,2,Python,2.7,17,0,0,0,0,0,1,0,0,-,6484,0.03
AmolMandhane,0,0.03,0.00,7,Python,2.7,20,0,0,0,0,0,2,0,0,-,6524,0.02
Amoo,0,0.00,0.00,15,C++,-,33,0,0,0,0,0,4,0,0,11512,2472,0.00
AmrMahmoud,0,0.00,0.00,4,C++,-,61,0,0,0,0,134,0,0,0,10280,2588,0.00
AndreiBiruk,0,0.00,0.00,8,C++,-,39,0,0,0,0,0,0,0,0,10960,2420,0.00
AndreySiunov,0,0.18,0.02,111,Java,-,518,0,0,0,0,0,20,64,0,-,33816,0.15
AndyBear,0,0.00,0.00,12,C++,-,44,0,0,0,0,0,26,0,0,10000,2884,0.00
Anta0,0,6.34,0.00,1,C++,-,61,0,0,0,0,0,0,0,0,15680,2708,6.34
Anthrax,0,0.00,0.00,12,Python,3.5,23,0,0,0,0,2,2,0,0,-,7168,0.00
AntiForest,0,0.00,0.00,6,C++,-,36,0,0,0,0,0,2,0,0,11008,2628,0.00
Antoniuk,0,0.00,0.00,9,C++,-,38,0,0,0,0,134,1,0,0,9832,2548,0.00
Antrax,0,0.04,0.00,6,Java,-,47,0,0,0,0,1,2,64,0,-,21304,0.03
Anuraag,0,0.00,0.00,5,C++,-,41,0,0,0,0,0,0,0,0,9968,2456,0.00
AnyFire,0,0.00,0.00,8,C++,-,24,0,0,0,0,0,0,0,0,8384,2192,0.00
Anyrainel,0,0.00,0.00,0,C++,-,29,0,0,0,0,0,0,0,0,8728,2516,0.00
Aran,0,0.00,0.00,6,Python,3.5,14,0,0,0,0,2,5,0,0,-,7212,0.00
ArbokEkans,0,0.00,0.00,7,Python,3.5,18,0,0,0,0,2,0,0,0,-,7160,0.00
Arcey,-,-,-,9,C++,-,33,-,0,-,-,-15,0,-,-,17704,-,-
ArchitGarg,0,0.00,0.00,3,Python,2.7,28,0,0,0,0,2,1,0,0,-,6132,0.00
Ardavel,0,0.00,0.00,20,C++,-,100,0,0,0,0,0,0,0,0,10416,2644,0.00
ArendPeter,0,0.04,0.00,1,Java,-,39,0,0,0,0,0,0,64,0,-,21720,0.04
Areseye,0,0.00,0.00,9,C++,-,39,0,0,0,0,0,0,8,0,20904,2720,0.00
Aries512,0,0.04,0.00,32,Java,-,392,0,0,0,0,1,1,64,0,-,21440,0.04
Ariza,0,0.00,0.00,0,C++,-,58,0,0,0,0,0,2,0,0,8736,2524,0.00
Armand,0,0.01,0.00,4,C++,-,31,0,0,0,0,0,0,0,0,17576,2624,0.00
Armavica,0,0.02,0.00,9,Python,2.7,30,0,0,0,0,0,1,0,0,-,6432,0.02
Aros,0,0.00,0.00,0,C++,-,29,0,0,0,0,0,0,0,0,8640,2704,0.00
Arrows,0,0.00,0.00,4,C++,-,32,0,0,0,0,0,0,0,0,11280,2608,0.00
Arstine,-,-,-,4,C++,-,29,-,1,-,-,-1,0,-,-,-,-,-
AsHes,0,0.00,0.00,2,C++,-,46,0,0,0,0,0,52,0,0,9800,2676,0.00
AshishRKO,0,0.24,0.02,8,Java,-,47,0,0,0,0,0,0,64,0,-,60668,0.22
Ashkboooos,0,0.00,0.00,7,Python,2.7,30,0,0,0,0,2,2,0,0,-,6104,0.00
Asocasno,-,-,-,14,C++,-,69,-,0,-,-,-15,4,-,-,17448,-,-
Astro75,0,0.00,0.00,3,C++,-,38,0,0,0,0,0,0,0,0,9848,2748,0.00
Atol,-,-,-,7,C++,-,75,-,0,-,-,-15,0,-,-,22520,-,-
Atticken,0,0.35,0.03,5,Java,-,40,0,0,0,0,0,0,64,0,-,66044,0.29
AugustusLi,0,0.00,0.00,5,C++,-,37,0,0,0,0,0,0,0,0,8784,2640,0.00
Aurel,0,0.02,0.00,11,Python,2.7,56,0,0,0,0,0,0,0,0,-,6960,0.02
AutomaticHourglass,0,0.00,0.00,15,C++,-,87,0,0,0,0,0,1,0,0,12608,2484,0.00
AutumnMaple,0,0.26,0.00,11,Java,-,78,0,0,0,0,0,3,72,0,-,66428,0.26
Awaykened,0,0.00,0.00,1,Python,2.7,21,0,0,0,0,2,0,0,0,-,6136,0.00
Aweather,0,0.00,0.00,6,C++,-,55,0,0,0,0,255,0,0,0,25272,2472,0.00
BIPUL,0,0.00,0.00,2,Python,3.5,20,0,0,0,0,2,0,0,0,-,7200,0.00
BSBandme,-,-,-,19,C++,-,200,-,1,-,-,-1,11,-,-,-,-,-
BananaTree,0,0.01,0.00,1,C++,-,27,0,0,0,0,0,0,0,0,18440,2580,0.00
Barx,-,-,-,7,Python,2.7,25,-,0,-,-,1,1,-,-,-,-,-
Becaucse,0,0.00,0.00,8,C,-,36,0,0,0,0,139,0,0,0,7856,2092,0.00
BellyWhite,0,0.00,0.00,1,C++,-,22,0,0,0,0,0,0,0,0,9840,2600,0.00
BenJ,0,0.04,0.00,15,Java,-,57,0,0,0,0,1,1,64,0,-,21640,0.04
Bench,0,0.25,0.01,5,Java,-,70,0,0,0,0,0,0,72,0,-,66756,0.26
BenjaminStienlet,0,0.04,0.00,14,Java,-,50,0,0,0,0,1,0,64,0,-,21408,0.04
BennyCarina,0,0.00,0.00,9,C++,-,50,0,0,0,0,0,0,0,0,10040,2536,0.00
Benz3536,0,0.53,0.03,0,C++,-,35,0,0,0,0,0,0,153552,0,10920,2748,0.49
Berba,0,0.26,0.01,4,Java,-,25,0,0,0,0,0,0,64,0,-,62172,0.24
Bewww,0,0.00,0.00,6,C++,-,54,0,0,0,0,0,0,0,0,8304,2136,0.00
Bg1,0,0.04,0.00,4,Java,-,39,0,0,0,0,1,2,64,0,-,21848,0.04
Bigmac,0,0.00,0.00,4,C++,-,123,0,0,0,0,1,110,0,0,13680,2396,0.00
Binnie,0,0.03,0.00,9,Python,2.7,20,0,0,0,0,0,0,0,0,-,6416,0.03
Biylda,0,0.02,0.00,17,C#,-,105,0,0,0,0,0,1,0,0,-,18808,0.02
Blinken,0,0.04,0.00,18,Java,-,265,0,0,0,0,255,16,64,0,-,21760,0.03
BluElist,0,0.00,0.00,5,Python,3.5,15,0,0,0,0,2,0,0,0,-,7164,0.00
Boblee,0,0.01,0.00,10,C++,-,35,0,0,0,0,0,0,0,0,8784,2600,0.01
BogoSort,0,0.01,0.00,6,C++,-,53,0,0,0,0,0,0,0,0,27296,2616,0.01
Boping,0,0.00,0.00,1,C++,-,30,0,1,0,0,127,0,0,0,-,1380,0.00
Bossle,0,0.01,0.00,1,C++,-,33,0,0,0,0,0,0,0,0,17384,2384,0.00
Bounciness,0,0.00,0.00,16,C,-,29,0,0,0,0,0,0,0,0,9160,2372,0.00
Boxer,0,0.00,0.00,8,C++,-,41,0,0,0,0,0,0,0,0,21640,2764,0.00
Bradrin,0,0.23,0.02,9,Java,-,42,0,0,0,0,0,0,72,0,-,59768,0.24
BrainSteel,0,0.00,0.00,13,C,-,32,0,0,0,0,0,9,0,0,7656,2368,0.00
Brainfvck,0,0.00,0.00,2,C++,-,28,0,0,0,0,0,0,0,0,10320,2544,0.00
Brancaia,0,0.04,0.00,9,Java,-,39,0,0,0,0,1,6,64,0,-,21340,0.04
Breda,0,0.00,0.00,3,C++,-,46,0,0,0,0,0,2,0,0,8416,2420,0.00
BrettAM,0,0.04,0.00,12,Java,-,72,0,0,0,0,0,0,64,0,-,21348,0.04
BryceSandlund,0,0.01,0.00,11,C++,-,32,0,0,0,0,0,0,0,0,15608,2696,0.00
Bryon,0,0.01,0.00,13,C++,-,51,0,0,0,0,0,5,0,0,21568,2644,0.00
BunchOfLines,0,0.00,0.00,4,C++,-,30,0,0,0,0,0,0,0,0,10984,2608,0.00
Burglarralgrub,0,0.00,0.00,0,C++,-,48,0,0,0,0,0,1,0,0,8992,2516,0.00
Burunduk1,0,0.01,0.00,6,C++,-,28,0,0,0,0,0,4,0,0,10936,2720,0.00
CAQ,0,0.04,0.00,3,Java,-,50,0,0,0,0,1,6,64,0,-,21604,0.03
CGMorton,0,5.02,3.16,19,C++,-,63,0,0,0,0,0,1,153760,0,21688,2548,1.86
CHRIST,0,0.01,0.00,29,C#,-,1395,0,0,0,0,1,195,0,0,-,14048,0.00
CLDP,0,0.01,0.00,4,C++,-,32,0,0,0,0,0,0,0,0,10176,2508,0.00
CLEYMONT,0,0.25,0.01,1,Java,-,43,0,0,0,0,0,4,64,0,-,61944,0.25
CPone,0,0.01,0.00,2,C++,-,31,0,0,0,0,0,0,0,0,17160,2624,0.00
Callum,0,0.14,0.00,9,Java,-,51,0,0,0,0,0,0,72,0,-,29768,0.12
Candela,0,0.55,0.04,7,C++,-,57,0,0,0,0,0,0,153584,0,10000,2572,0.51
Candice,0,0.00,0.00,1,C++,-,38,0,0,0,0,0,7,0,0,12816,2516,0.00
Carleton,0,0.02,0.00,12,Python,2.7,30,0,0,0,0,0,0,8,0,-,10052,0.02
Cartman,0,0.03,0.00,2,Python,2.7,8,0,0,0,0,0,0,0,0,-,6580,0.03
CaseyRoberts711,0,0.00,0.00,23,C++,-,83,0,0,0,0,0,43,0,0,21248,2628,0.00
Cassan,0,0.00,0.00,19,C++,-,38,0,0,0,0,134,1,8,0,18576,2596,0.00
CataractGoogly,0,0.04,0.00,5,Java,-,44,0,0,0,0,0,1,64,0,-,21868,0.03
Catnap,0,0.26,0.03,8,Java,-,42,0,0,0,0,0,3,72,0,-,66184,0.27
Celicath,0,0.00,0.00,9,C++,-,42,0,1,0,0,127,1,0,0,-,1424,0.00
ChCat,0,0.04,0.00,21,Java,-,73,0,0,0,0,1,0,64,0,-,21616,0.04
ChadMourning,0,0.01,0.00,6,C++,-,46,0,0,0,0,0,2,0,0,21472,2616,0.01
Chaithanya,0,0.00,0.00,6,C++,-,40,0,0,0,0,0,4,0,0,11248,2376,0.00
ChaosPP,0,0.00,0.00,11,C++,-,38,0,0,0,0,0,0,0,0,9568,2600,0.00
Chen917,0,0.00,0.00,6,C++,-,70,0,0,0,0,0,0,0,0,10184,2612,0.00
Chendy,0,0.00,0.00,0,C++,-,33,0,0,0,0,0,0,0,0,8456,2060,0.00
Cherish,0,0.00,0.00,3,C++,-,46,0,0,0,0,0,0,0,0,8688,2744,0.00
ChienYu,0,0.02,0.00,3,Python,2.7,18,0,0,0,0,0,0,0,0,-,6460,0.02
Chitly,0,0.53,0.02,0,C++,-,30,0,0,0,0,0,0,153568,0,7944,2336,0.50
ChrisDz,0,0.01,0.00,15,C++,-,56,0,0,0,0,0,0,0,0,21600,2352,0.01
Christinass,0,0.00,0.00,4,C++,-,45,0,0,0,0,0,1,0,0,8352,2196,0.00
ChromeFish,0,0.00,0.00,1,C++,-,35,0,0,0,0,0,0,0,0,10432,2392,0.00
Chunmeng,0,0.03,0.00,1,Python,2.7,22,0,0,0,0,0,1,0,0,-,6548,0.03
Cicero49,0,0.01,0.00,11,C++,-,36,0,0,0,0,0,0,0,0,10104,2816,0.00
Cintia,0,0.00,0.00,7,Python,2.7,21,0,0,0,0,2,0,0,0,-,6164,0.00
Clairvoy4nt,0,0.00,0.00,18,C++,-,81,0,0,0,0,0,0,0,0,21232,2468,0.00
Clarissa,0,0.02,0.00,9,Python,2.7,38,0,0,0,0,0,0,0,0,-,6500,0.02
ClassWYZ,0,0.27,0.01,5,Java,-,28,0,0,0,0,0,0,64,0,-,61216,0.27
Code14,0,0.00,0.00,15,C++,-,32,0,0,0,0,0,13,0,0,8752,2584,0.00
CodeViking,0,0.01,0.00,18,Python,3.5,72,0,1,0,0,2,1,0,0,-,7164,0.00
Comedi,0,0.00,0.00,4,C++,-,33,0,0,0,0,0,0,0,0,8728,2600,0.00
ComputerDruid,0,0.00,0.00,1,Python,3.5,20,0,0,0,0,2,1,0,0,-,7224,0.00
ConanKudo247,0,0.00,0.00,4,C++,-,65,0,0,0,0,134,0,0,0,10552,2636,0.00
CounterLogicKid,0,0.04,0.00,9,Java,-,37,0,0,0,0,1,2,64,0,-,21604,0.04
CoyoteRunner,0,0.02,0.00,18,C#,System.Numerics,75,0,0,0,0,0,0,8,0,-,18564,0.02
Cricycle,0,0.25,0.00,5,Java,-,31,0,0,0,0,0,0,64,0,-,61860,0.26
Crossfade,-,-,-,9,C++,-,59,-,1,-,-,-1,2,-,-,-,-,-
Csirke,0,0.00,0.00,13,C++,-,51,0,0,0,0,0,0,0,0,15568,2604,0.00
Cubix651,0,0.07,0.00,6,Python,2.7,39,0,0,0,0,0,0,0,0,-,6532,0.07
Cwind,0,0.00,0.00,1,C++,-,67,0,0,0,0,0,1,0,0,10112,2460,0.00
CyoSeKyo,0,0.00,0.00,4,C++,-,59,0,0,0,0,0,1,0,0,9432,2516,0.00
Cypi,0,0.03,0.00,5,Python,2.7,20,0,0,0,0,0,0,0,0,-,6392,0.02
DAMF,0,0.03,0.00,13,Python,2.7,37,0,0,0,0,0,7,0,0,-,6368,0.03
DATASOURCE,0,0.00,0.00,2,C++,-,30,0,0,0,0,0,0,0,0,8336,2756,0.00
DAle,0,0.00,0.00,2,C++,-,47,0,0,0,0,0,0,8,0,21872,2576,0.00
DBZX,-,-,-,14,C++,-,79,-,1,-,-,-1,7,-,-,-,-,-
DCLXVI,0,0.00,0.00,20,C++,-,154,0,0,0,0,0,2,0,0,22448,2520,0.00
DEGwer,-,-,-,0,C++,-,39,-,1,-,-,-1,0,-,-,-,-,-
DFC,0,0.00,0.00,0,C++,-,42,0,0,0,0,0,0,0,0,10144,2452,0.00
DKDC,-,-,-,2,C++,-,35,-,1,-,-,-1,0,-,-,-,-,-
DKolodzey,0,0.01,0.00,3,C++,-,27,0,0,0,0,0,0,0,0,10176,2620,0.00
DVH312,0,0.00,0.00,1,C++,-,33,0,0,0,0,0,0,0,0,11088,2440,0.00
DXsmiley,0,0.01,0.00,2,C++,-,20,0,0,0,0,0,0,0,0,11176,2592,0.00
Daishisan,0,0.28,0.02,5,Java,-,25,0,0,0,0,0,4,64,0,-,61816,0.26
DanhP,0,0.00,0.00,6,C#,-,114,0,0,0,0,2,5,0,0,-,12036,0.00
DaniJVaz,0,0.00,0.00,7,C++,-,28,0,0,0,0,0,0,0,0,7928,2428,0.00
DaniTunes,0,0.03,0.00,3,Python,2.7,19,0,0,0,0,0,3,0,0,-,6400,0.03
DanielK16,0,0.16,0.00,2,Java,-,27,0,0,0,0,0,0,64,0,-,31128,0.16
DanielMarques,0,0.14,0.00,4,C++,-,41,0,0,0,0,0,0,0,0,7944,2316,0.14
DanilC,-,-,-,8,C++,-,76,-,1,-,-,-1,0,-,-,-,-,-
Danlark,0,0.01,0.00,1,Python,3.5,21,0,1,0,0,2,0,0,0,-,7208,0.01
Daredevil1,0,0.00,0.00,0,C++,-,40,0,0,0,0,0,1,0,0,8632,2636,0.00
DarinTay,0,0.01,0.00,4,C++,-,29,0,0,0,0,0,0,0,0,20568,2552,0.01
Dariost,0,0.00,0.00,4,C++,-,61,0,0,0,0,0,0,8,0,23496,2516,0.00
DarkFlare,0,0.04,0.00,1,Java,-,47,0,0,0,0,0,3,64,0,-,21536,0.04
DarkZero,0,0.00,0.00,14,C++,-,41,0,0,0,0,0,1,0,0,9856,2468,0.00
Darksun,0,0.00,0.00,3,C++,-,28,0,0,0,0,0,0,0,0,10960,2604,0.00
DarwDarw,0,0.00,0.00,5,C++,-,49,0,0,0,0,0,0,1072,0,9896,2748,0.00
DarwinYDC,0,0.01,0.00,3,C++,-,39,0,0,0,0,0,0,0,0,16968,2472,0.00
DavidAlves,0,0.03,0.00,7,Python,2.7,20,0,0,0,0,0,0,0,0,-,6568,0.03
DavidLin,0,0.00,0.00,8,C++,-,29,0,0,0,0,0,1,0,0,17520,2328,0.00
DavidS,0,0.00,0.00,13,C++,-,133,0,0,0,0,0,2,0,0,34776,2560,0.00
Davs,0,0.26,0.02,11,Java,-,51,0,0,0,0,0,5,72,0,-,66116,0.23
DeMatos,0,0.00,0.00,2,C++,-,37,0,0,0,0,0,0,8,0,22560,2720,0.00
Delusion,0,0.00,0.00,10,C++,-,55,0,0,0,0,0,3,0,0,10248,2648,0.00
Dempsy,0,0.00,0.00,4,C++,-,29,0,1,0,0,127,0,0,0,-,1416,0.00
Dendro,0,0.01,0.00,20,C++,-,74,0,0,0,0,0,0,0,0,42488,2760,0.01
Devine38,0,0.05,0.00,12,Java,-,83,0,0,0,0,1,5,64,0,-,21632,0.05
Diego1149,0,0.01,0.00,6,C++,-,48,0,0,0,0,0,0,0,0,10120,2588,0.00
DiegoCR,0,0.00,0.00,15,C++,-,25,0,0,0,0,0,0,0,0,11288,2568,0.00
DimkaDA,-,-,-,8,C++,-,34,-,1,-,-,-1,2,-,-,-,-,-
DimonK,0,0.00,0.00,2,C++,-,39,0,0,0,0,0,0,0,0,9080,2444,0.00
Dinivity,0,0.54,0.02,0,C++,-,28,0,0,0,0,0,0,153568,0,8072,2212,0.52
Diusrex,0,0.00,0.00,11,C++,-,33,0,0,0,0,0,0,0,0,9296,2580,0.00
Dive5617,-,-,-,20,C++,-,122,-,0,-,-,-15,3,-,-,25960,-,-
DmitryAnkudinov,0,0.04,0.01,10,Java,-,37,0,0,0,0,1,3,64,0,-,21404,0.02
Dog,0,0.00,0.00,3,Python,2.7,12,0,0,0,0,2,0,0,0,-,6184,0.00
DonaldDuck,0,0.01,0.00,10,C++,-,45,0,0,0,0,0,1,0,0,10128,2464,0.00
DrBubbles,0,0.01,0.00,17,C++,-,43,0,0,0,0,0,1,0,0,10192,2548,0.00
Drevnij,0,0.13,0.00,16,Java,-,36,0,0,0,0,0,0,72,0,-,32260,0.13
Duc,0,0.00,0.00,18,C++,-,85,0,0,0,0,134,2,0,0,17760,2636,0.00
Dukkha,0,0.15,0.00,1,Java,-,29,0,0,0,0,0,0,64,0,-,30924,0.14
Dzhyrma,-,-,-,38,Java,-,261,-,1,-,-,-1,9,-,-,-,-,-
East,-,-,-,5,C++,-,35,-,1,-,-,-1,0,-,-,-,-,-
EbTech,0,0.00,0.00,3,C++,-,51,0,0,0,0,0,0,0,0,10336,2568,0.00
Effilry,0,0.00,0.00,7,C,-,31,0,0,0,0,0,0,0,0,7424,2260,0.00
EggyLv999,0,0.00,0.00,4,C++,-,56,0,0,0,0,0,4,0,0,9216,2276,0.00
Eitri,0,0.26,0.00,27,Java,-,41,0,0,0,0,0,11,64,0,-,61548,0.27
ElT3D,0,0.04,0.00,30,Java,-,41,0,0,0,0,1,5,64,0,-,21408,0.04
Elias,0,0.30,0.01,7,Java,-,36,0,0,0,0,0,2,72,0,-,67784,0.29
Elouan,0,0.00,0.00,8,C++,-,51,0,0,0,0,0,0,0,0,10216,2468,0.00
EmK,0,0.02,0.00,14,C#,-,104,0,0,0,0,0,10,0,0,-,19460,0.02
Eminenz,0,0.29,0.02,9,Java,-,41,0,0,0,0,0,2,64,0,-,61980,0.30
EmmHaych,0,0.00,0.00,9,Python,2.7,35,0,0,0,0,2,4,0,0,-,6148,0.00
Empress,0,0.52,0.02,1,C++,-,33,0,0,0,0,0,0,153584,0,10152,2600,0.50
Empty007,0,0.00,0.00,9,C++,-,52,0,0,0,0,0,0,0,0,8808,2572,0.00
EnTerr,0,0.02,0.00,14,Python,2.7,41,0,0,0,0,0,9,0,0,-,6592,0.02
Enam,-,-,-,16,C++,-,76,-,4,-,-,-1,16,-,-,-,-,-
Enchom,0,0.00,0.00,12,C++,-,51,0,0,0,0,0,0,1072,0,9056,2512,0.00
Enmar,0,0.01,0.00,4,Python,2.7,32,0,0,0,0,2,6,0,0,-,7700,0.00
EricDLee,0,0.04,0.00,6,Python,2.7,10,0,0,0,0,0,4,0,0,-,6528,0.04
Erich,0,0.00,0.00,0,C++,-,31,0,0,0,0,0,0,0,0,10368,2684,0.00
Erona,0,0.00,0.00,0,C++,-,32,0,0,0,0,0,0,0,0,8160,2200,0.00
Erop,-,-,-,30,C++,-,157,-,1,-,-,-1,0,-,-,-,-,-
Error202,-,-,-,30,C++,-,203,-,1,-,-,-1,1,-,-,-,-,-
