user_id,penalty,points,rank
...Johniel,4858,23,2043
..M..,4705,23,2013
.bf,8853,37,951
.dd,9192,51,349
.forma,1563,11,2723
.msfm,5319,12,2527
.tJ,5326,37,701
0x00000000,6913,12,2564
0x42,9899,36,1218
0xb0c5,4961,38,509
0xffff,2811,11,2867
1.jatekos,5817,23,2141
11122976,9291,38,653
19891101,7919,50,395
1ed,8812,25,1516
200,6299,23,2201
2rf,5157,52,164
317070,9725,52,307
354898002,4801,23,2034
37ae912,9458,52,304
3bdelra7man,4572,23,1986
4rias,4469,23,1970
8163264128,5624,25,1364
8cbx,8271,23,2363
9mat,9127,37,973
A.Elahi,2669,23,1688
A.S.,7360,27,1264
ACgege,2654,23,1685
ACube,8436,50,418
ADJA,1244,23,1573
AHdoc,6655,52,188
AISarkin,539,11,2634
AJ721,7063,23,2263
AK93,2001,11,2771
AKM,8562,50,424
AKim,843,11,2640
ALOHA.HJ,9148,25,1535
ALOHA.Sangwoo,3438,11,2963
ALOHA.YEOP,9983,25,1549
AStepanov,7643,23,2318
ATailouloute,1067,11,2659
ATrosinenko,7783,52,232
AVictor,8026,50,400
AbandonZHANG,7730,27,1268
Abdabef,2662,11,2852
Acka,5331,23,2087
AdGold,8971,37,959
Aerodonkey,7800,50,390
Agentchuck,8781,25,1513
AhmadMamdouh,1693,23,1601
Ahmah2009,6053,23,2171
AhmedFathyAly,6456,36,1055
Ails,7431,38,582
AirRafer,3405,11,2958
Aith,4117,12,2498
AizukiKoh,5353,25,1354
Ajlohr,3871,12,2492
Al.Cash,7984,100,20
Al3kSaNdaR,1425,23,1579
AlFa,4438,38,497
Alcarinquo,7802,12,2588
Alex.Baranau,5542,25,1361
Alex.CHS,7547,50,383
Alex.z,6359,37,751
AlexAlvarez,5519,36,1026
AlexTolstov,6317,38,542
AlexanderLarin,8745,52,274
Alextrovert,7018,23,2261
AliMalekzadeh,10501,52,311
Aliman,6199,12,2546
Alireza.bh,5951,23,2158
Allanur,2068,23,1621
AlohaAloha,8728,23,2391
Alvis,7342,23,2295
Alwahsh,8138,24,1563
Amareelez,1274,11,2679
Ambling,7786,25,1450
Amirnasr,7809,37,842
AmolMandhane,2030,11,2773
Ananya,8793,37,938
Anardael,6030,25,1379
Anarivu,8468,50,423
Andrei1998,4272,23,1933
Andres.Unt,1208,11,2671
Andretti,4865,12,2520
AndyAder,7844,25,1455
AngryBacon,9358,37,986
Anick,993,11,2652
AnnKats93,4768,38,504
Anonymous289,8182,23,2352
AnonymousBunny,978,11,2650
Anton.Hulikau,4747,37,682
Anton92nd,7481,36,1091
Antrax,3938,11,3019
AnuarTB,4032,23,1898
Anur,1343,11,2690
ApoorvGupta,2635,11,2847
Apt,9693,23,2428
ArbokEkans,3178,11,2928
Arca,5688,25,1366
Arcey,8537,25,1497
Archikrator,8928,37,956
ArchitGarg,5830,13,2448
Areseye,6555,23,2221
Arhno,8043,12,2594
Arilato,8524,27,1278
Arrows,8058,36,1119
Arseniy.,6103,23,2179
Arseny,8589,23,2386
Arshu,3535,23,1812
Arstine,1187,11,2669
Arterm,4373,38,493
Arup,1666,23,1593
AshishRKO,3566,23,1821
Astein,7984,52,240
Astrae,8783,54,151
Atol,5637,51,314
Atropine,2729,11,2856
Auenwald,8342,25,1483
AugustusLi,9374,38,654
Aurel,5740,29,1226
Aussiroth,2697,13,2440
Auster,1688,23,1599
Awaykened,3041,23,1741
Awcrr,8398,23,2371
AxiomOfChoice,8306,37,883
Azat,5413,37,703
BMF,7529,25,1442
BNieuwenhuizen,9574,37,993
BUAA.Thor,6981,37,782
Backspe,6002,27,1249
Bagla,1437,11,2707
Bainos,2525,11,2834
Bakhodir.Ashirmatov,8478,52,256
Barba,2416,23,1659
Bars,4226,23,1926
Barty,8414,36,1137
Basha133,7787,23,2327
Baster,5999,37,722
BattlerRein,5350,25,1352
BatusaiX,4205,23,1922
Bebe,8602,52,264
Bekmyrat,2998,23,1734
Belag,9395,54,153
BellyWhite,6188,37,740
Belonogov,5133,100,2
BenZ,6869,52,195
Bench,6799,25,1403
BeniBela,8835,52,279
BenjaminStienlet,5920,23,2151
Benyamin,2703,23,1694
Benz3536,9130,50,450
Benzema67,8920,13,2461
Berezin,8226,51,330
