c_id,name
1460488,Qualification Round 2012
1645485,Round 1A 2012
1836486,Round 1B 2012
1781488,Round 1C 2012
2270488,Qualification Round 2013
2418487,Round 1A 2013
2434486,Round 1B 2013
2437488,Round 1C 2013
2974486,Qualification Round 2014
2984486,Round 1A 2014
2994486,Round 1B 2014
3004486,Round 1C 2014
6224486,Qualification Round 2015
4224486,Round 1A 2015
8224486,Round 1B 2015
4244486,Round 1C 2015
6254486,Qualification Round 2016
4304486,Round 1A 2016
11254486,Round 1B 2016
4314486,Round 1C 2016
